,XGB_CPU,XGB_GPU,LGBM
0,943,897,953
1,984,919,985
2,969,917,965
3,977,922,980
4,986,926,979
5,974,913,986
6,998,912,987
7,966,933,969
8,956,798,977
9,965,816,942
10,976,888,972
11,949,885,970
12,952,832,969
13,954,898,964
14,942,852,928
15,962,799,960
16,908,843,945
17,961,800,965
18,944,839,963
19,905,665,913
20,962,746,969
21,964,864,924
22,965,777,1007
23,856,882,953
24,984,825,994
25,814,728,923
26,930,608,838
27,976,666,898
28,909,718,935
29,950,741,892
30,908,761,955
31,915,824,807
32,825,669,949
33,925,901,791
34,541,771,920
35,930,644,828
36,627,741,685
37,905,863,823
38,837,707,704
39,931,606,687
40,514,651,630
41,752,546,722
42,581,839,902
43,935,502,603
44,772,563,981
45,527,826,571
46,957,915,759
47,493,785,846
48,506,623,611
49,824,552,934
50,626,480,826
51,829,869,734
52,567,755,713
53,689,505,852
54,915,731,853
55,529,520,919
56,607,789,540
57,910,571,914
58,530,886,518
59,553,379,524
60,673,817,649
61,889,820,650
62,521,871,844
63,798,456,459
64,877,396,650
65,389,292,526
66,479,285,958
67,859,562,589
68,540,312,872
69,610,285,873
70,714,586,468
71,499,680,530
72,856,520,611
73,794,567,482
74,328,504,552
75,649,698,772
76,802,291,937
77,653,352,394
78,433,659,864
79,771,799,798
80,430,845,474
81,837,470,619
82,424,761,905
83,602,463,544
84,565,348,737
85,409,276,797
86,690,477,414
87,828,422,923
88,245,298,578
89,883,610,461
90,897,302,770
91,804,501,748
92,415,857,588
93,749,309,535
94,785,514,521
95,307,337,887
96,508,355,709
97,828,457,864
98,335,385,717
99,822,380,795
