,XGB_CPU,XGB_GPU,LGBM
0,32,32,32
1,32,32,32
2,32,32,32
3,32,32,32
4,32,32,32
5,32,32,32
6,32,32,32
7,32,32,32
8,32,32,32
9,32,32,32
10,32,32,32
11,31,31,32
12,32,32,32
13,32,32,32
14,32,32,32
15,32,32,32
16,32,32,32
17,32,32,32
18,32,32,31
19,31,32,31
20,32,32,32
21,32,32,32
22,32,32,32
23,32,32,32
24,32,32,32
25,32,32,32
26,30,29,32
27,32,32,32
28,32,32,32
29,32,32,31
30,32,32,32
31,32,26,32
32,32,32,32
33,32,31,32
34,27,32,28
35,32,31,32
36,30,32,32
37,28,32,31
38,32,29,32
39,32,31,31
40,25,31,31
41,32,28,31
42,31,32,27
43,32,27,32
44,27,32,31
45,32,29,32
46,28,32,32
47,32,32,28
48,32,29,28
49,29,32,29
50,32,31,26
51,29,31,30
52,32,32,32
53,30,28,31
54,28,32,32
55,32,32,32
56,28,27,30
57,32,30,32
58,30,30,32
59,31,31,25
60,32,32,28
61,28,27,26
62,31,26,32
63,32,32,31
64,25,31,29
65,18,32,32
66,27,29,32
67,28,29,30
68,29,21,30
69,31,28,30
70,30,30,31
71,29,32,30
72,32,32,28
73,23,30,32
74,29,27,29
75,30,27,27
76,31,15,30
77,32,30,31
78,21,27,29
79,30,32,30
80,32,32,25
81,20,32,32
82,18,29,30
83,28,28,32
84,32,25,30
85,26,28,31
86,20,29,30
87,21,30,31
88,32,32,28
89,27,29,29
90,14,24,29
91,24,16,29
92,29,18,32
93,29,32,27
94,31,27,32
95,29,30,30
96,26,31,32
97,32,22,29
98,31,31,26
99,32,21,31
