,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
0,8747,9049,9049,8095,8778
1,8280,8232,8232,8206,8270
2,8227,8575,8575,8055,8612
3,8657,8228,8228,8675,8117
4,8172,9018,9018,7996,8799
5,8812,8407,8407,8726,8482
6,8069,8470,8470,8393,8371
7,8314,8904,8904,8281,8938
8,8699,8550,8550,8475,9074
9,8770,9205,9205,8708,8796
10,8904,8349,8349,8284,8963
11,8014,8204,8204,8571,8005
12,8633,8116,8116,8236,8690
13,7708,8322,8322,8329,8196
14,7826,8629,8629,7656,8636
15,8399,7866,7866,8072,8996
16,8781,8288,8288,8466,8253
17,8282,8206,8206,8430,8660
18,8639,8268,8268,7939,8063
19,7953,7919,7919,7485,7679
20,7574,7908,7908,8493,8574
21,7408,7626,7626,7020,7148
22,6765,8085,8085,6861,7254
23,7193,7776,7776,7341,7594
24,7211,7716,7716,7106,7704
25,6476,6849,6849,5920,6666
26,6609,6044,6044,6380,7092
27,6305,6308,6308,6044,6193
28,6460,6386,6386,5726,6180
29,5755,5984,5984,5960,6527
30,5534,6273,6273,5864,6170
31,6077,6036,6036,5386,5669
32,5812,5825,5825,4756,6006
33,5668,5633,5633,5355,5782
34,6581,5308,5308,6837,5476
35,5233,5916,5916,5109,4537
36,5696,5681,5681,4408,4951
37,5442,4505,4505,5061,5237
38,4395,5176,5176,5375,5189
39,5906,4553,4553,4128,3992
40,3977,4480,4480,4302,4835
41,4995,3861,3861,3390,5317
42,3853,3819,3819,3627,3353
43,3432,5404,5404,4664,3366
44,5443,5552,5552,4151,5292
45,5815,3104,3104,3391,4348
46,5706,4292,4292,6093,5528
47,3405,4483,4483,3148,3926
48,2128,3712,3712,2961,2801
49,2325,3202,3202,2311,4498
50,4316,2807,2807,5244,2449
51,1807,3063,3063,1426,4175
52,2273,5562,5562,4932,2806
53,1989,2132,2132,3234,2927
54,2256,2403,2403,2499,2971
55,1781,1611,1611,4353,1375
56,1037,2141,2141,553,1065
57,3416,2955,2955,738,2436
58,992,2435,2435,1872,1721
59,4500,1442,1442,583,1369
60,3900,1795,1795,1025,3783
61,781,5335,5335,1405,1396
62,987,1204,1204,1956,697
63,660,2462,2462,2227,1728
64,2840,2291,2291,712,2962
65,5467,1671,1671,1024,2629
66,5004,900,900,916,5235
67,809,1685,1685,1912,3360
68,2216,2403,2403,604,5031
69,1082,1837,1837,1125,1291
70,536,2715,2715,1908,3673
71,646,2716,2716,680,5530
72,3114,923,923,1523,962
73,569,1950,1950,1828,2934
74,704,1348,1348,1691,1438
75,559,3364,3364,841,1848
76,770,741,741,1821,1536
77,693,6276,6276,1342,1813
78,628,1760,1760,281,5255
79,386,1753,1753,1298,1420
80,891,1090,1090,4772,1653
81,1302,2780,2780,714,4460
82,3610,3446,3446,781,4504
83,344,2912,2912,563,1173
84,1260,5440,5440,1029,1028
85,1176,3570,3570,1300,1774
86,975,2371,2371,1032,1557
87,666,754,754,278,2025
88,639,4019,4019,4928,2924
89,1741,4290,4290,792,5160
90,1938,2919,2919,1373,947
91,396,4214,4214,288,2944
92,255,4844,4844,495,2335
93,480,4416,4416,497,4337
94,1851,2171,2171,3472,1521
95,1280,3847,3847,1032,2775
96,354,2566,2566,592,4097
97,441,6303,6303,2305,1197
98,664,1362,1362,884,1815
99,313,1552,1552,290,2293
