,XGB_CPU,XGB_GPU,LGBM
0,2011,2005,2025
1,2016,2008,2027
2,1988,1997,1995
3,2006,2016,2012
4,1934,1959,1934
5,1996,1999,2017
6,1929,1933,1942
7,1975,1996,1987
8,1899,1900,1909
9,1912,1925,1955
10,1820,1921,1991
11,1928,1941,1919
12,1949,1837,1860
13,1893,1891,1926
14,1765,1922,1844
15,1839,1766,1889
16,1789,1860,1899
17,1739,1831,1778
18,1763,1741,1770
19,1814,1741,1714
20,1665,1777,1779
21,1740,1820,1723
22,1687,1768,1923
23,1687,1648,1845
24,1783,1856,1753
25,1737,1707,1898
26,1844,1745,1854
27,1545,1676,1788
28,1633,1794,1596
29,1680,1940,1852
30,1832,1472,1647
31,1719,1768,1551
32,1473,1416,1862
33,1766,1595,1763
34,1874,1617,1326
35,1466,1280,1766
36,1685,1687,1619
37,1633,1233,1411
38,1368,1631,1751
39,1718,1497,1630
40,1700,1613,1358
41,1378,1775,1460
42,1423,1379,1535
43,1527,1554,1625
44,1525,1518,1722
45,1388,1515,1403
46,1496,1329,1110
47,1329,1444,1468
48,1514,1672,1826
49,1158,1102,958
