,EQBIN_dw,EQBIN_lg,LGB
f3,0.13147053781684542,0.13147053781684542,0.0979657194696627
f29,0.09790004561189422,0.09790004561189422,0.08894316194242151
f16,0.0880102402728528,0.0880102402728528,0.07681378471304462
f24,0.07249666606532587,0.07249666606532587,0.12378369444528696
f9,0.06276404362389976,0.06276404362389976,0.06970854962225066
f8,0.0615183049009291,0.0615183049009291,0.08770105663887852
f31,0.05712136247419244,0.05712136247419244,0.035140115890776875
f6,0.05395734755333,0.05395734755333,0.07287758530018382
f12,0.05302417649559741,0.05302417649559741,0.05401159050330025
f17,0.050653501726504783,0.050653501726504783,0.07032137918262814
f2,0.04897550301654284,0.04897550301654284,0.05835158746670136
f22,0.040600768937294494,0.040600768937294494,0.04230240773219419
f1,0.03987512657893627,0.03987512657893627,0.035217127378579724
f13,0.03593182454449487,0.03593182454449487,0.021245307346663845
f26,0.034927461204574184,0.034927461204574184,0.031220777157927992
f4,0.03149934174351572,0.03149934174351572,0.026442446747728957
f15,0.0025321350505525665,0.0025321350505525665,0.0005181008616220564
f5,0.0025229691023415583,0.0025229691023415583,0.0005313926942904329
f18,0.002514522391832943,0.002514522391832943,0.0005085358587641127
f30,0.002493247614768608,0.002493247614768608,0.0005098245958454446
f25,0.0024745856007397397,0.0024745856007397397,0.0004940130911649748
f20,0.0024644484695276465,0.0024644484695276465,0.0004966927249940793
f19,0.002457945931487551,0.002457945931487551,0.0004857533506766635
f11,0.002451734226911031,0.002451734226911031,0.00047953173132696855
f7,0.0024497953839144374,0.0024497953839144374,0.0004742475521111806
f21,0.002447446343182068,0.002447446343182068,0.00048429004314017347
f0,0.002443673173602197,0.002443673173602197,0.0005097029751430807
f10,0.002433702010164628,0.002433702010164628,0.0004750440181041423
f14,0.002412789896800191,0.002412789896800191,0.000505743435955601
f23,0.002403169184336882,0.002403169184336882,0.0004950717575079901
f27,0.0023930610861369905,0.0023930610861369905,0.0004980403265332946
f28,0.0023785219669711075,0.0023785219669711075,0.00048772344458980867
