,no_depth_limit,depth,depth_8,depth_18
0,2048,1830,256,2048
1,2048,1816,256,2048
2,2048,1849,256,2048
3,2048,1860,256,2048
4,2048,1771,256,2048
5,2048,1753,256,2048
6,2048,1813,255,2048
7,2048,1804,255,2048
8,2048,1787,256,2048
9,2048,1705,256,2048
10,2048,1732,251,2048
11,2048,1827,256,2048
12,2048,1706,256,2048
13,2048,1698,255,2048
14,2048,1707,255,2048
15,2048,1781,256,2048
16,2048,1682,253,2048
17,2048,1792,249,2048
18,2048,1608,252,2048
19,2048,1565,248,2048
20,2048,1637,256,2048
21,2048,1268,250,2048
22,2048,1131,244,2048
23,2048,1581,233,2048
24,2048,1564,249,2048
25,2048,1272,226,2048
26,2048,1695,246,2048
27,2048,1409,249,2048
28,2048,1177,254,2048
29,2048,1362,252,2048
30,2048,1250,234,2048
31,2048,1323,241,2048
32,2048,1529,236,2048
33,2048,1714,256,2048
34,2048,971,245,2048
35,2048,1257,236,2048
36,2048,1149,239,2048
37,2048,1127,203,2048
38,2048,1165,234,2048
39,2048,1417,253,2048
40,2048,1595,239,2048
41,2048,1155,238,2048
42,2048,997,250,2048
43,2048,1518,233,2048
44,2048,1012,247,2048
45,2048,1054,236,2048
46,2048,1047,235,2048
47,2048,799,232,2048
48,2048,807,254,2048
49,2048,978,239,2048
50,2048,977,243,2048
51,2048,699,226,2048
52,2048,1178,203,2048
53,2048,1173,219,2048
54,2048,1386,250,2048
55,2048,1311,203,2048
56,2048,926,234,2048
57,2048,1191,234,2048
58,2048,1134,239,2048
59,2048,920,214,2048
60,2048,1430,235,2048
61,2048,1088,223,2048
62,2048,1068,220,2048
63,2048,1000,218,2048
64,2048,1327,227,2048
65,2048,1158,230,2048
66,2048,1258,250,2048
67,2048,1318,236,2048
68,2048,825,241,2048
69,2048,1100,246,2048
70,2048,1450,211,2048
71,2048,1388,236,2048
72,2048,1202,254,2048
73,2048,887,216,2048
74,2048,1306,241,2048
75,2048,742,195,2048
76,2048,1058,236,2048
77,2048,761,230,2048
78,2048,1458,251,2048
79,2048,1373,206,2048
80,2048,817,229,2048
81,2048,1628,251,2048
82,2048,1169,248,2048
83,2048,830,240,2048
84,2048,747,239,2048
85,2048,971,209,2048
86,2048,1170,254,2048
87,2048,969,201,2048
88,2048,876,255,2048
89,2048,855,237,2048
90,2048,805,236,2048
91,2048,1097,252,2048
92,2048,1331,230,2048
93,2048,1070,231,2048
94,2048,793,238,2048
95,2048,1181,197,2048
96,2048,814,211,2048
97,2048,790,226,2048
98,2048,1250,206,2048
99,2048,742,240,2048
