,hist_dw,hist_lg,hist_GPU,GPU,LGB
0,6423,6423,4898,6323,6329
1,6107,6107,4640,5739,5785
2,5626,5626,4161,5591,5565
3,5863,5863,4512,5498,5600
4,5715,5715,4256,5510,5588
5,5434,5434,3792,5578,5184
6,5657,5657,4208,5354,5851
7,5324,5324,4067,5447,5844
8,5737,5737,4239,5483,5390
9,5673,5673,3971,5771,5934
10,5727,5727,4138,5838,5835
11,5780,5780,4325,6019,5974
12,5921,5921,4003,5684,5635
13,5774,5774,4313,5439,4950
14,6396,6396,4348,5672,5585
15,5409,5409,4689,6109,6086
16,5928,5928,3934,5360,5931
17,6254,6254,4256,5550,5678
18,5715,5715,4491,5948,5552
19,5087,5087,4545,5985,5175
20,5532,5532,3924,5304,5053
21,5266,5266,4014,5037,5270
22,4676,4676,4127,5374,4925
23,5027,5027,3786,4356,4822
24,4984,4984,3914,4086,4662
25,4169,4169,3456,4100,4618
26,4272,4272,2956,3822,4295
27,3776,3776,3206,3575,3830
28,3520,3520,2756,3303,3684
29,3841,3841,2609,3443,3317
30,3025,3025,2791,3429,3144
31,3018,3018,2275,3039,3250
32,3128,3128,2135,3863,2969
33,3326,3326,1943,3526,2809
34,2491,2491,2680,3452,3012
35,2534,2534,2390,2815,3222
36,2029,2029,2343,2349,2811
37,2201,2201,2221,1881,3072
38,1841,1841,2262,3281,2583
39,2377,2377,2044,2551,2067
40,2925,2925,1767,2515,2230
41,2986,2986,1304,2227,1837
42,1918,1918,1394,1627,3140
43,1996,1996,1576,2616,1681
44,2053,2053,1570,1251,2373
45,1478,1478,881,1950,2142
46,1981,1981,1722,1837,1550
47,1252,1252,1778,866,1639
48,2374,2374,1113,1261,1091
49,2746,2746,1814,1895,2000
50,829,829,1841,1183,1474
51,1423,1423,1933,1374,1889
52,2089,2089,2636,875,1024
53,1225,1225,921,622,1093
54,2585,2585,583,1035,2258
55,950,950,934,970,1501
56,1220,1220,554,2030,891
57,1805,1805,911,1962,864
58,1182,1182,2855,1134,2196
59,992,992,678,620,1200
60,1396,1396,2292,882,891
61,523,523,1655,862,1911
62,2455,2455,836,3259,641
63,3937,3937,1691,754,4385
64,736,736,2468,3206,2333
65,844,844,1436,428,2258
66,4159,4159,868,1515,2676
67,915,915,2897,544,936
68,376,376,1071,465,1694
69,2615,2615,1318,609,800
70,1295,1295,283,1527,3514
71,819,819,596,593,4103
72,1017,1017,1654,1425,1008
73,1782,1782,1272,544,1097
74,799,799,566,638,3200
75,1126,1126,1328,4254,517
76,2067,2067,2482,1247,589
77,479,479,685,2328,1733
78,2605,2605,1169,2544,3043
79,3612,3612,1078,309,987
80,766,766,1118,964,2300
81,1672,1672,1105,4177,2819
82,1052,1052,2557,828,3456
83,916,916,668,3436,863
84,2875,2875,850,1027,898
85,4534,4534,923,1912,2022
86,2495,2495,462,257,853
87,3562,3562,2057,1542,1296
88,2031,2031,1349,197,1855
89,3441,3441,769,362,2481
90,2916,2916,1106,575,785
91,1299,1299,884,1064,1895
92,2322,2322,1319,275,1139
93,3832,3832,607,564,3963
94,3544,3544,3052,476,1421
95,2957,2957,1200,217,641
96,1121,1121,566,332,2340
97,754,754,1058,411,2675
98,487,487,1360,676,1208
99,1954,1954,2296,1900,733
