,hist_dw,hist_lg,hist_GPU,GPU,LGB
0,0.68423,0.68423,0.68423,0.684203,0.684221207866043
1,0.676066,0.676066,0.676066,0.67596,0.6760072452139235
2,0.668353,0.668353,0.668353,0.668214,0.6682920380716155
3,0.661831,0.661831,0.661831,0.661676,0.6614411977346827
4,0.655803,0.655803,0.655803,0.655729,0.6554079545123129
5,0.649844,0.649844,0.649844,0.649808,0.6498148611305647
6,0.644689,0.644689,0.644689,0.644584,0.6445769830050989
7,0.639566,0.639566,0.639566,0.639541,0.639708593410022
8,0.634865,0.634865,0.634865,0.634625,0.6349506916818551
9,0.630449,0.630449,0.630449,0.630276,0.630711745639754
10,0.625689,0.625689,0.625688,0.625832,0.6263753694796788
11,0.621427,0.621427,0.621427,0.621451,0.6212419430310108
12,0.616625,0.616625,0.616625,0.617513,0.6171166714565661
13,0.612853,0.612853,0.612852,0.61388,0.6127932326124116
14,0.609077,0.609077,0.609077,0.609899,0.6089858863483743
15,0.605212,0.605212,0.605212,0.605619,0.6054498376211542
16,0.601528,0.601528,0.601528,0.601249,0.6021768847568246
17,0.597864,0.597864,0.597864,0.597272,0.5982481781090915
18,0.595066,0.595066,0.595066,0.593708,0.5947092781313125
19,0.591663,0.591663,0.591663,0.590472,0.591483491122202
20,0.588943,0.588943,0.588943,0.587416,0.5887286612001753
21,0.586085,0.586085,0.586085,0.584804,0.5851264242789141
22,0.58267,0.58267,0.58267,0.581247,0.5820898958296294
23,0.579627,0.579627,0.579627,0.578752,0.579005592029166
24,0.576619,0.576619,0.576619,0.575639,0.5760259024244245
25,0.573375,0.573375,0.573375,0.572841,0.5728401025342997
26,0.570416,0.570416,0.570416,0.569684,0.5702032456245053
27,0.567816,0.567816,0.567816,0.567116,0.5671317730617866
28,0.565193,0.565193,0.565193,0.564169,0.5645495668433059
29,0.562655,0.562655,0.562655,0.561808,0.5621328559110355
30,0.560532,0.560532,0.560531,0.559851,0.5595206884010843
31,0.558117,0.558117,0.558117,0.557351,0.5574582496728882
32,0.555354,0.555354,0.555354,0.555243,0.5551546074620305
33,0.553424,0.553424,0.553424,0.55285,0.5529129671569869
34,0.551149,0.551149,0.551149,0.550598,0.5507169896305504
35,0.548847,0.548847,0.548847,0.548392,0.5488627798848682
36,0.54676,0.54676,0.54676,0.546182,0.5469820807679365
37,0.544329,0.544329,0.544329,0.544069,0.5447371240503949
38,0.54187,0.54187,0.54187,0.542137,0.542802888156986
39,0.539681,0.539681,0.539681,0.540219,0.5401881396734896
40,0.537586,0.537586,0.537586,0.538359,0.5381147290364433
41,0.535648,0.535648,0.535648,0.536812,0.5361353966866621
42,0.534052,0.534052,0.534052,0.534671,0.5341932342521488
43,0.531803,0.531803,0.531803,0.532768,0.5322770195671844
44,0.53049,0.53049,0.53049,0.531185,0.5303817977362378
45,0.52897,0.52897,0.52897,0.529333,0.528610586739423
46,0.527189,0.527189,0.527189,0.527311,0.5267233686209298
47,0.525038,0.525038,0.525038,0.525335,0.5250076976300049
48,0.523423,0.523423,0.523423,0.523802,0.5238001015418882
49,0.521848,0.521848,0.521848,0.521707,0.5218598085331619
50,0.52004,0.52004,0.52004,0.520182,0.5203424258783262
51,0.518683,0.518683,0.518683,0.51867,0.5190746847518809
52,0.517082,0.517082,0.517082,0.517185,0.5171845504929866
53,0.515592,0.515592,0.515592,0.515837,0.5153631282891451
54,0.514591,0.514591,0.51459,0.514383,0.5137908870565254
55,0.512499,0.512499,0.512499,0.512963,0.5122649294967188
56,0.511041,0.511041,0.511041,0.511559,0.5108137609399697
57,0.509519,0.509519,0.509519,0.510129,0.5093227020317379
58,0.50812,0.50812,0.50812,0.50861,0.5073848568766499
59,0.506275,0.506275,0.506275,0.50705,0.5063528596691873
60,0.50496,0.50496,0.50496,0.505279,0.5048833266628658
61,0.503308,0.503308,0.503308,0.504369,0.5034237048750573
62,0.501699,0.501699,0.501699,0.502966,0.5022768009232284
63,0.500585,0.500585,0.500585,0.501337,0.5011026643464003
64,0.499174,0.499174,0.499174,0.500151,0.5000642936220036
65,0.497987,0.497987,0.497987,0.498734,0.49890259953668403
66,0.496559,0.496559,0.496559,0.497437,0.497395001001723
67,0.495159,0.495159,0.495159,0.496444,0.49575391339968117
68,0.493988,0.493988,0.493988,0.494672,0.4945852539005177
69,0.492634,0.492634,0.492634,0.493459,0.493151130265103
70,0.49153,0.49153,0.49153,0.492242,0.49192777887209765
71,0.490371,0.490371,0.490371,0.491038,0.4904299728138644
72,0.489294,0.489294,0.489294,0.490095,0.4895992021417035
73,0.488353,0.488353,0.488353,0.488463,0.4880215200727737
74,0.487539,0.487539,0.487539,0.487303,0.48686598381748025
75,0.485763,0.485763,0.485762,0.48588,0.4854209169836111
76,0.484882,0.484882,0.484882,0.484643,0.48433490768151316
77,0.483515,0.483515,0.483515,0.483114,0.4829240289033947
78,0.482584,0.482584,0.482583,0.482407,0.4819120048106744
79,0.481333,0.481333,0.481333,0.481405,0.48073067531482483
80,0.480543,0.480543,0.480543,0.480313,0.47984548177582237
81,0.479703,0.479703,0.479702,0.478863,0.4786103519660911
82,0.478466,0.478466,0.478466,0.477495,0.47717173643394234
83,0.477162,0.477162,0.477161,0.476618,0.476293187853176
84,0.47614,0.47614,0.476139,0.475525,0.47542547579527156
85,0.474991,0.474991,0.47499,0.474502,0.47446721381567475
86,0.47404,0.47404,0.47404,0.473591,0.47344097966910287
87,0.472789,0.472789,0.472789,0.472885,0.47250511870661993
88,0.472025,0.472025,0.472025,0.471947,0.4713857933256908
89,0.471147,0.471147,0.471147,0.470913,0.4703767323122313
90,0.47016,0.47016,0.47016,0.469886,0.46957172845590905
91,0.469179,0.469179,0.469179,0.469049,0.46884187345767186
92,0.468133,0.468133,0.468133,0.46817,0.46781093934586127
93,0.467038,0.467038,0.467038,0.467503,0.4668179363814176
94,0.465819,0.465819,0.465819,0.466703,0.46590485227235956
95,0.465098,0.465098,0.465098,0.465711,0.46494621020802135
96,0.464081,0.464081,0.464081,0.464142,0.4641841493371879
97,0.462982,0.462982,0.462982,0.46333,0.46282498094927393
98,0.461712,0.461712,0.461712,0.462381,0.46233678905676817
99,0.461009,0.461009,0.461009,0.461575,0.4615505578240307
