,XGB,XGB_GPU,LGB
0,1071,993,1018
1,1032,1001,971
2,1029,997,1058
3,1037,1024,1007
4,1039,1014,1032
5,1049,1037,1060
6,1043,1054,1096
7,1126,1097,1056
8,1094,1073,1184
9,1141,1030,1092
10,1107,1136,1215
11,1207,1088,1113
12,1118,1175,1261
13,1217,1131,1199
14,1150,1223,1224
15,1331,1171,1322
16,1190,1197,1239
17,1223,1159,1216
18,1264,1098,1254
19,1243,1202,1266
20,1188,1132,1184
21,1201,1209,1184
22,1188,1191,1180
23,1209,1128,1283
24,1149,1272,1264
25,1232,1123,1208
26,1178,1152,1249
27,1186,1187,1251
28,1272,1140,1270
29,1178,1106,1260
30,1218,1078,1287
31,1126,1084,1220
32,1132,1193,1127
33,1027,1125,1066
34,949,1016,1129
35,965,902,1068
36,998,931,1152
37,849,983,1037
38,1085,874,963
39,803,999,970
40,831,863,961
41,842,1016,836
42,916,714,943
43,890,548,1036
44,860,740,784
45,652,639,930
46,582,601,971
47,538,604,729
48,628,484,570
49,698,447,849
50,499,624,731
51,501,763,709
52,561,424,603
53,498,536,472
54,511,455,398
55,493,409,627
56,266,359,490
57,515,408,536
58,564,352,603
59,473,514,431
60,264,189,469
61,306,749,571
62,214,223,566
63,252,424,948
64,135,245,828
65,190,235,247
66,237,287,332
67,240,232,298
68,445,361,401
69,102,247,1281
70,155,93,316
71,178,267,326
72,141,196,626
73,637,326,309
74,68,270,262
75,133,138,1102
76,95,138,630
77,292,202,627
78,74,179,420
79,132,180,217
80,248,333,170
81,57,97,427
82,768,59,438
83,235,174,667
84,184,200,1308
85,232,187,704
86,113,131,595
87,125,118,543
88,190,143,535
89,144,147,365
90,227,236,460
91,81,275,390
92,80,317,415
93,186,193,957
94,70,276,919
95,252,752,273
96,169,138,500
97,151,260,425
98,116,72,304
99,447,216,253
