,XGB,LGB
0,11473,11418
1,10799,10761
2,10330,10290
3,10504,10483
4,10768,10771
5,10619,10933
6,9582,9431
7,10651,10252
8,9859,9896
9,10013,10141
10,9699,9918
11,9823,10148
12,9933,9410
13,9826,9599
14,10210,9692
15,9539,9021
16,9509,8707
17,9157,9489
18,9215,8413
19,8293,8666
20,9122,9399
21,8242,8883
22,7862,7975
23,8151,7587
24,6717,7713
25,6804,7106
26,8538,7186
27,6747,5722
28,7987,6893
29,6409,7277
30,5057,6063
31,4992,5695
32,6688,4955
33,5216,5064
34,4492,5510
35,5986,6354
36,3009,6338
37,3549,4278
38,7522,6177
39,3647,3613
40,3686,3558
41,2909,5487
42,4171,5178
43,5598,3596
44,4717,3682
45,3389,3110
46,3925,5344
47,4099,1872
48,3628,3378
49,3133,2199
50,3040,3311
51,4479,2667
52,2471,3581
53,2494,2817
54,3801,2893
55,3185,2274
56,3529,3094
57,2205,4067
58,2801,6837
59,4477,2882
60,5816,3606
61,3171,7585
62,7149,2517
63,2308,2480
64,5336,5880
65,6381,4763
66,2196,2915
67,2212,1622
68,2728,3447
69,4311,3194
70,2644,2476
71,5231,5919
72,3435,4113
73,2886,2148
74,5702,2143
75,2066,4809
76,5347,5346
77,2702,2729
78,3580,3027
79,2287,3830
80,2835,2413
81,2190,6605
82,3682,2040
83,4217,5317
84,3388,3943
85,2882,1939
86,4538,2663
87,6265,1487
88,3020,6475
89,5769,4012
90,2628,2696
91,6168,2430
92,6527,3433
93,3571,5494
94,2814,2352
95,4778,5833
96,3995,3744
97,3685,4345
98,7794,2620
99,4480,3121
