,XGB_CPU,LGBM
0,13296,13697
1,12956,13335
2,13343,13698
3,13022,13043
4,13312,13264
5,12852,13570
6,12822,13417
7,12930,13106
8,13034,12843
9,12356,12625
10,12787,13187
11,12219,12185
12,12269,13088
13,12565,12259
14,12405,12935
15,11802,12452
16,11528,12169
17,11565,11600
18,11168,11446
19,11167,11902
20,10075,11118
21,10805,10524
22,10060,10708
23,10880,10612
24,10528,11084
25,10400,9992
26,10133,9605
27,10206,10249
28,9294,11308
29,10495,11070
30,10163,9864
31,10281,10589
32,7901,9766
33,9738,10230
34,8361,9065
35,7526,10689
36,7427,4262
37,5297,8865
38,3900,6100
39,6445,4102
40,4034,4134
41,3844,6896
42,6017,7835
43,3813,5193
44,6747,4474
45,3987,5550
46,3294,7376
47,8744,4863
48,2371,3620
49,5616,10229
50,4186,5748
51,5308,4737
52,7394,4322
53,5182,2891
54,2922,4034
55,3153,4818
56,2361,3027
57,3420,4325
58,3819,4374
59,8232,2550
60,3414,8300
61,6730,2097
62,8171,4004
63,8665,3496
64,3687,4201
65,6289,5706
66,2504,3268
67,4025,3498
68,3113,2920
69,1618,3564
70,4762,3060
71,1986,6359
72,2058,6982
73,2155,3837
74,5636,4514
75,4551,4820
76,5860,2643
77,4498,7912
78,5994,3725
79,2095,3978
80,4997,3170
81,3724,5482
82,2631,2659
83,830,3547
84,2882,2349
85,3444,5525
86,1274,4620
87,1890,2616
88,2588,2210
89,7541,3626
90,4976,4251
91,4115,8394
92,2747,4204
93,1773,2515
94,1722,5806
95,5247,2045
96,1972,7435
97,1218,3001
98,1085,4888
99,3388,5511
100,418,4552
101,1846,2780
102,3032,2585
103,1541,2028
104,2406,5073
105,1521,3245
106,5771,2958
107,2461,5972
108,403,3387
109,1267,3930
110,1376,6137
111,3430,4921
112,651,3407
113,658,5246
114,1324,3631
115,2492,1756
116,1680,3654
117,960,2384
118,1442,3218
119,474,6121
120,4842,7250
121,2419,2541
122,1868,3294
123,1597,5470
124,6120,4148
125,851,5581
126,1388,6429
127,1852,5384
128,1732,2763
129,1185,3130
130,3723,3187
131,5222,2506
132,2089,3077
133,1666,2863
134,2784,7275
135,1787,1897
136,1635,5011
137,2205,4944
138,2613,3409
139,981,5080
140,1174,2919
141,153,1994
142,931,2012
143,1060,6179
144,2994,4085
145,2734,3816
146,1343,9503
147,1424,6774
148,4830,7100
149,2700,6593
150,1285,7784
151,2171,5258
152,2034,4589
153,4083,8267
154,4103,6168
155,1036,6221
156,3767,2004
157,1244,3026
158,1580,6232
159,2124,2096
160,274,3398
161,1311,1704
162,1037,1868
163,5298,5898
164,1866,4312
165,1428,4107
166,3527,5569
167,3077,4688
168,1288,2767
169,1626,2881
170,3025,3028
171,1947,5267
172,4465,4088
173,2030,8659
174,1285,5376
175,2554,7088
176,775,7179
177,4112,7100
178,1476,3977
179,3703,2531
180,3529,3289
181,1770,5322
182,428,1782
183,3134,6550
184,2965,6312
185,2213,7521
186,1302,4801
187,2283,4299
188,2184,6715
189,989,3141
190,2807,3479
191,2519,4180
192,2695,3496
193,1900,4813
194,2943,4024
195,2679,3118
196,1304,2613
197,1130,6750
198,3194,5246
199,1122,3691
200,1234,3931
201,1140,4888
202,2559,2993
203,1948,6449
204,5743,5852
205,2806,6173
206,5359,5166
207,989,2109
208,1939,2589
209,799,2796
210,2614,5616
211,1590,5633
212,2551,6121
213,5007,5254
214,2805,8026
215,1708,3891
216,970,5796
217,2565,7618
218,3706,4629
219,694,5061
220,1983,5905
221,2751,7238
222,1176,5031
223,2722,3970
224,688,3608
225,1493,5047
226,1114,4622
227,517,5179
228,1969,6324
229,4210,2970
230,2638,6793
231,3469,5854
232,1190,5337
233,762,5942
234,4306,6191
235,2049,7654
236,1564,3014
237,1829,5438
238,1881,5535
239,704,5263
240,881,7092
241,1601,5165
242,1689,5622
243,1167,5360
244,1097,7987
245,607,5767
246,1136,3558
247,858,6994
248,318,3909
249,460,2936
250,1899,5099
251,1079,5129
252,1447,7110
253,867,6592
254,1294,5035
255,1009,4273
256,1076,4203
257,609,7257
258,1150,6723
259,2166,5115
260,2393,4544
261,3594,7418
262,2076,4496
263,650,6681
264,2404,4730
265,2988,8257
266,1365,6097
267,3041,4316
268,442,4882
269,1903,5596
270,1718,6132
271,4022,7210
272,2646,6910
273,1017,4207
274,979,3972
275,2413,6232
276,1399,4817
277,1598,7579
278,3745,8051
279,2868,5907
280,1183,6915
281,786,5929
282,2011,5770
283,1206,7258
284,2280,4401
285,2730,4122
286,3451,3247
287,1234,6427
288,2775,5844
289,3552,6711
290,1882,6398
291,1850,4138
292,2470,6544
293,856,6449
294,529,5103
295,1598,6176
296,900,4143
297,1691,4690
298,2112,6112
299,1842,3066
300,4239,2523
301,880,5502
302,2957,5893
303,1515,7016
304,940,7191
305,1467,3867
306,3896,4415
307,843,6429
308,2207,7884
309,5128,5991
310,4685,3794
311,2719,5768
312,2660,5585
313,4003,6190
314,2042,7548
315,1149,6985
316,1835,5618
317,2450,6214
318,3259,4878
319,562,5716
320,1225,7786
321,3825,6667
322,3508,7957
323,1076,4784
324,1947,6653
325,3527,6223
326,1470,5723
327,3661,4618
328,1221,5160
329,2117,7189
330,1256,7131
331,2642,3733
332,2215,4958
333,1631,5604
334,7109,6781
335,2756,5289
336,2201,5872
337,1319,3726
338,1945,5126
339,3218,6689
340,2746,6000
341,988,5790
342,1111,4572
343,739,6194
344,1592,3411
345,1522,5243
346,678,7983
347,818,5206
348,3603,5260
349,2820,6446
350,2743,3083
351,4826,4187
352,3515,4576
353,3077,5701
354,2769,5013
355,2726,6037
356,1573,5000
357,1093,5539
358,2943,5188
359,1245,7004
360,4560,4632
361,2556,4703
362,3505,6119
363,2370,6717
364,804,4974
365,1508,2890
366,1371,2015
367,1163,4760
368,1257,2793
369,449,5608
370,2281,3092
371,2325,5571
372,1788,4911
373,2765,4481
374,1977,6594
375,1949,5633
376,3127,5742
377,3854,5404
378,3768,6485
379,1155,6678
380,1456,5025
381,1867,4686
382,6566,5385
383,1763,5016
384,1810,4905
385,4296,5451
386,2618,4111
387,1804,4410
388,3719,5329
389,3762,4898
390,956,5899
391,1357,5818
392,1644,5571
393,733,5803
394,729,4945
395,2258,6032
396,810,7033
397,1219,6804
398,1604,5395
399,3275,5546
400,1196,3164
401,1582,4305
402,1321,6359
403,1782,5053
404,2587,4388
405,1641,6679
406,3068,6292
407,1787,6203
408,4786,5283
409,657,6251
410,3054,5903
411,969,6137
412,3286,5634
413,1104,5568
414,1032,6447
415,1518,4473
416,1507,3132
417,1294,4904
418,871,5581
419,1935,5570
420,1355,5062
421,876,5103
422,1593,3027
423,1726,5435
424,911,4594
425,670,4937
426,2023,4583
427,1956,4894
428,1126,4085
429,2055,4756
430,4114,3513
431,2856,3746
432,2878,5010
433,2209,4802
434,2992,4299
435,1450,5908
436,1662,3591
437,1114,4095
438,1303,2041
439,1176,4825
440,2411,4975
441,2998,5241
442,1475,2982
443,4083,5247
444,1994,4687
445,1557,4626
446,1611,4324
447,1958,5313
448,2690,4698
449,1115,3589
450,1807,5439
451,1473,6804
452,3482,5018
453,2184,5424
454,2145,5660
455,4000,4976
456,1224,4469
457,1160,4811
458,2332,5527
459,2548,5168
460,2538,6033
461,1975,6999
462,1916,3488
463,1430,2675
464,1280,3895
465,797,2783
466,3595,4452
467,2380,4739
468,828,4329
469,1133,3963
470,1236,4903
471,3751,4477
472,1274,5042
473,2186,5643
474,2676,5726
475,3209,4931
476,3204,4770
477,4567,4567
478,1295,5430
479,1596,5307
480,1610,5221
481,2048,3231
482,1159,2663
483,3861,3890
484,1309,5088
485,1772,5512
486,2676,5494
487,1477,4875
488,3725,2352
489,2002,2107
490,1550,3314
491,2129,4564
492,1502,3173
493,3089,3588
494,1670,3605
495,1641,3433
496,1768,4116
497,1486,5248
498,3999,5676
499,2529,4302
