,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
0,6323,6423,6423,5828,6293
1,5739,6107,6107,5626,5543
2,5591,5626,5626,5488,5532
3,5498,5863,5863,5394,5658
4,5510,5715,5715,5642,5625
5,5578,5434,5434,5420,5794
6,5354,5657,5657,5361,5695
7,5447,5324,5324,5155,5904
8,5483,5737,5737,5717,5608
9,5771,5673,5673,5702,6059
10,5838,5727,5727,5452,6007
11,6019,5780,5780,5682,5507
12,5684,5921,5921,5720,5719
13,5439,5774,5774,5581,6276
14,5672,6396,6396,5896,6449
15,6109,5409,5409,5542,5371
16,5360,5928,5928,6159,5742
17,5550,6254,6254,5617,5772
18,5948,5715,5715,5149,5299
19,5985,5087,5087,4874,5875
20,5304,5532,5532,4952,4908
21,5037,5266,5266,4795,5694
22,5374,4676,4676,5014,4686
23,4356,5027,5027,4725,5732
24,4086,4984,4984,4754,4588
25,4100,4169,4169,4263,4797
26,3822,4272,4272,3726,3995
27,3575,3776,3776,3575,3388
28,3303,3520,3520,3301,3954
29,3443,3841,3841,3554,3407
30,3429,3025,3025,2760,3095
31,3039,3018,3018,3203,2992
32,3863,3128,3128,2605,3292
33,3526,3326,3326,3573,3808
34,3452,2491,2491,3130,3446
35,2815,2534,2534,3653,3139
36,2349,2029,2029,2153,3140
37,1881,2201,2201,1657,3391
38,3281,1841,1841,2565,2558
39,2551,2377,2377,1909,2845
40,2515,2925,2925,2337,2463
41,2227,2986,2986,1704,2009
42,1627,1918,1918,1784,2396
43,2616,1996,1996,1461,2110
44,1251,2053,2053,1766,1315
45,1950,1478,1478,1424,1615
46,1837,1981,1981,2057,1121
47,866,1252,1252,1429,1717
48,1261,2374,2374,633,1407
49,1895,2746,2746,952,992
50,1183,829,829,2878,2187
51,1374,1423,1423,1097,2741
52,875,2089,2089,2666,703
53,622,1225,1225,555,2608
54,1035,2585,2585,1235,735
55,970,950,950,621,2026
56,2030,1220,1220,1111,1641
57,1962,1805,1805,1042,1054
58,1134,1182,1182,679,3246
59,620,992,992,410,1244
60,882,1396,1396,2137,890
61,862,523,523,734,3430
62,3259,2455,2455,1146,842
63,754,3937,3937,1229,807
64,3206,736,736,1270,1272
65,428,844,844,901,1447
66,1515,4159,4159,2506,1643
67,544,915,915,670,880
68,465,376,376,627,942
69,609,2615,2615,700,3059
70,1527,1295,1295,296,2328
71,593,819,819,2541,497
72,1425,1017,1017,753,3417
73,544,1782,1782,731,1016
74,638,799,799,308,3799
75,4254,1126,1126,716,1782
76,1247,2067,2067,1984,1045
77,2328,479,479,446,2238
78,2544,2605,2605,574,3083
79,309,3612,3612,258,2471
80,964,766,766,1171,5029
81,4177,1672,1672,496,667
82,828,1052,1052,1396,1093
83,3436,916,916,3428,1901
84,1027,2875,2875,1540,452
85,1912,4534,4534,593,1642
86,257,2495,2495,1128,2040
87,1542,3562,3562,356,1171
88,197,2031,2031,1491,3285
89,362,3441,3441,485,693
90,575,2916,2916,1963,814
91,1064,1299,1299,267,2891
92,275,2322,2322,1005,3580
93,564,3832,3832,1106,1375
94,476,3544,3544,1510,1466
95,217,2957,2957,987,678
96,332,1121,1121,1017,1517
97,411,754,754,2887,3256
98,676,487,487,298,1203
99,1900,1954,1954,1457,1301
