,XGB_CPU,XGB_GPU,LGBM
0,0.671193,0.671293,0.671200573444
1,0.651869,0.651918,0.652174174786
2,0.632808,0.632869,0.634318113327
3,0.617695,0.61778,0.61784017086
4,0.601789,0.602019,0.602186799049
5,0.586313,0.586757,0.588400542736
6,0.574583,0.573576,0.574863135815
7,0.561815,0.560702,0.562514841557
8,0.548234,0.550099,0.550601661205
9,0.537593,0.539449,0.539529085159
10,0.527248,0.529141,0.528646707535
11,0.517564,0.51895,0.518859982491
12,0.50769,0.509253,0.509369969368
13,0.498342,0.500449,0.501060664654
14,0.490009,0.490058,0.49074023962
15,0.481832,0.482276,0.48243060708
16,0.472385,0.474908,0.474528819323
17,0.46526,0.465843,0.465946137905
18,0.457804,0.458124,0.458397179842
19,0.449947,0.450646,0.450094848871
20,0.444491,0.442795,0.443032920361
21,0.438706,0.435335,0.437271058559
22,0.431641,0.429565,0.431593805552
23,0.425047,0.425213,0.42579433322
24,0.419888,0.419516,0.419921696186
25,0.416997,0.41595,0.415690600872
26,0.412837,0.410592,0.411246925592
27,0.40827,0.403395,0.405499011278
28,0.401935,0.40119,0.401822715998
29,0.398725,0.397466,0.39942407608
30,0.393821,0.392031,0.394596666098
31,0.38797,0.38826,0.390708267689
32,0.383057,0.383804,0.387500047684
33,0.379336,0.381006,0.384278088808
34,0.377023,0.378777,0.380035579205
35,0.374724,0.374609,0.377931237221
36,0.371089,0.372503,0.373897701502
37,0.367986,0.3687,0.370803207159
38,0.365504,0.366965,0.365725755692
39,0.362057,0.364695,0.364094942808
40,0.359846,0.360387,0.361565828323
41,0.35694,0.35809,0.356753706932
42,0.355054,0.354836,0.354590445757
43,0.353529,0.351533,0.352365493774
44,0.35063,0.348505,0.349827587605
45,0.34725,0.344084,0.345246702433
46,0.342222,0.338931,0.342205762863
47,0.338674,0.335386,0.338802278042
48,0.336664,0.333149,0.335819602013
49,0.334861,0.331295,0.333134323359
50,0.333236,0.329863,0.331668049097
51,0.331096,0.328451,0.329756915569
52,0.327662,0.327026,0.327966749668
53,0.323854,0.323876,0.326242804527
54,0.322041,0.322227,0.324145764112
55,0.320777,0.320446,0.322576165199
56,0.319044,0.317979,0.319067418575
57,0.318068,0.317235,0.317561626434
58,0.317212,0.3134,0.314615786076
59,0.316105,0.311021,0.31279489398
60,0.313609,0.307236,0.310958474874
61,0.310513,0.304503,0.30844476819
62,0.308078,0.300412,0.307427734137
63,0.30714,0.298431,0.306090503931
64,0.303368,0.296864,0.302780836821
65,0.299099,0.293978,0.302018672228
66,0.297811,0.293033,0.300295233727
67,0.293106,0.290917,0.296825438738
68,0.29159,0.286879,0.294306486845
69,0.290943,0.283927,0.292160719633
70,0.290119,0.281836,0.289239376783
71,0.285506,0.280911,0.287881225348
72,0.284435,0.279662,0.285749942064
73,0.284164,0.278294,0.284902721643
74,0.281798,0.276591,0.283020377159
75,0.280463,0.275706,0.28197941184
76,0.276951,0.274476,0.28106161952
77,0.276133,0.273733,0.279260069132
78,0.274915,0.273001,0.277515441179
79,0.27407,0.272687,0.275879502296
80,0.272272,0.270151,0.274290382862
81,0.270563,0.269005,0.272626519203
82,0.269974,0.265129,0.269230276346
83,0.268772,0.263394,0.268332272768
84,0.266775,0.262699,0.267057389021
85,0.26461,0.262527,0.265316218138
86,0.263841,0.261656,0.264080941677
87,0.262773,0.259809,0.260700941086
88,0.261001,0.258481,0.259124487638
89,0.260044,0.255668,0.257694959641
90,0.256402,0.255197,0.256214737892
91,0.255117,0.254225,0.254916697741
92,0.254691,0.253647,0.253630638123
93,0.25423,0.252873,0.252228051424
94,0.252601,0.252319,0.250118970871
95,0.24999,0.251854,0.247827500105
96,0.246378,0.251441,0.246887713671
97,0.245917,0.25018,0.246057584882
98,0.244556,0.248217,0.244471430779
99,0.243981,0.245222,0.243224799633
