,XGB,XGB_GPU,LGB
0,5232,4801,5160
1,5029,4949,5055
2,4955,4862,4834
3,4949,4907,4760
4,4788,4699,4826
5,4948,5026,4867
6,4875,4602,4944
7,4745,4926,4646
8,4749,4619,4637
9,4571,4691,4920
10,4613,4709,4702
11,4793,4434,4737
12,4657,4296,4777
13,4552,4492,4707
14,4430,4364,4695
15,4203,4522,4577
16,4435,4214,4184
17,4055,4029,4256
18,4427,3914,4223
19,4090,4270,4314
20,4205,3929,3713
21,3660,3934,3878
22,3926,3862,4058
23,3855,3679,3854
24,3669,3873,3925
25,3588,3314,3977
26,3109,3505,3270
27,3034,3373,3215
28,3143,3198,3327
29,3203,3204,3227
30,3158,3012,3096
31,2907,2764,3151
32,2921,2827,2786
33,2954,2477,2993
34,3143,2535,2724
35,2377,2264,2277
36,2503,2219,2533
37,2287,2211,2538
38,2222,2124,2546
39,2161,2211,2284
40,1887,2130,1880
41,2064,2177,2232
42,1899,1775,2149
43,1781,1843,2991
44,1758,1882,2341
45,2003,1623,1363
46,1757,1905,2677
47,1106,2247,1864
48,1367,1519,1018
49,1661,988,1755
50,1882,1221,1002
51,854,1158,1744
52,936,982,1151
53,926,1067,609
54,1447,2416,1254
55,2214,1333,870
56,606,624,2018
57,1644,3661,976
58,361,1259,2156
59,757,1964,823
60,1158,250,1516
61,808,404,628
62,392,620,867
63,480,503,1412
64,447,1627,1397
65,276,458,684
66,436,653,726
67,1232,805,1401
68,300,1065,826
69,443,243,1602
70,1235,1923,2605
71,336,682,493
72,815,314,2210
73,468,236,1377
74,843,1654,3360
75,329,1459,610
76,2019,482,1103
77,1115,567,788
78,2147,1112,629
79,363,300,2570
80,852,578,3119
81,313,545,1297
82,1297,413,913
83,111,816,663
84,1612,864,1297
85,1117,302,1264
86,303,554,1924
87,1143,1100,1713
88,373,788,2388
89,336,472,2204
90,729,718,405
91,4176,499,577
92,317,1147,1315
93,393,825,2920
94,609,547,1412
95,1065,553,2128
96,3305,317,1196
97,918,357,2225
98,194,287,1800
99,434,680,870
