,XGB,XGB_GPU,LGB
f35,0.134177791583,0.132512782209,0.222567204157
f4,0.0607509104741,0.0533089201079,0.0681104645034
f56,0.049101383759,0.052125872754,0.0421171071874
f13,0.0437575816012,0.044363068112,0.0582143362633
f23,0.0395082194942,0.0383784309119,0.0306007405562
f41,0.036294003168,0.0382078180706,0.0489214052926
f0,0.0358181770377,0.0347769479596,0.0572270065846
f34,0.0357887612236,0.0380321958508,0.0580933357989
f37,0.0324569079475,0.0321478150773,0.0583869022937
f22,0.0318235071235,0.0343336681532,0.0187013328811
f47,0.0306497745637,0.0322634656761,0.0219983776891
f61,0.0296934749498,0.0285210777529,0.0223584045358
f9,0.0284011158234,0.0324963334226,0.0159505764311
f28,0.0272392315222,0.0273331340001,0.0214071919756
f33,0.0260476787217,0.024820346966,0.0347620180669
f36,0.0255968123906,0.0236973230743,0.0389791229868
f7,0.025110735884,0.0243180527136,0.0166495156206
f55,0.0249261650733,0.0192728261521,0.00725655451117
f1,0.0243351803343,0.0236062519315,0.011875113052
f8,0.0240096131901,0.0219837098314,0.0195849190309
f21,0.0238090796127,0.0186730790417,0.00891331429564
f17,0.0232201220963,0.0272089919087,0.0088683710602
f14,0.0229307117357,0.0222236073249,0.0119274150235
f26,0.0228799159383,0.0236465318947,0.0153836993041
f63,0.0223267731508,0.0216707888592,0.0100358080276
f25,0.0217927265453,0.0225083337165,0.0130577697324
f10,0.0202695664226,0.0201162774754,0.0181629381922
f30,0.0199165086917,0.0265778429189,0.00265820019041
f48,0.0194627600411,0.022330105017,0.0082695949946
f49,0.0194526958058,0.0211565492823,0.00399849265264
f44,0.0184521140951,0.0173878518337,0.024962767108
f31,0.0,0.0,0.0
f20,0.0,0.0,0.0
f62,0.0,0.0,0.0
f2,0.0,0.0,0.0
f60,0.0,0.0,0.0
f59,0.0,0.0,0.0
f58,0.0,0.0,0.0
f57,0.0,0.0,0.0
f3,0.0,0.0,0.0
f5,0.0,0.0,0.0
f54,0.0,0.0,0.0
f53,0.0,0.0,0.0
f52,0.0,0.0,0.0
f51,0.0,0.0,0.0
f50,0.0,0.0,0.0
f27,0.0,0.0,0.0
f6,0.0,0.0,0.0
f19,0.0,0.0,0.0
f46,0.0,0.0,0.0
f45,0.0,0.0,0.0
f24,0.0,0.0,0.0
f43,0.0,0.0,0.0
f42,0.0,0.0,0.0
f29,0.0,0.0,0.0
f40,0.0,0.0,0.0
f39,0.0,0.0,0.0
f38,0.0,0.0,0.0
f11,0.0,0.0,0.0
f12,0.0,0.0,0.0
f15,0.0,0.0,0.0
f16,0.0,0.0,0.0
f18,0.0,0.0,0.0
f32,0.0,0.0,0.0
