,XGB,LGB
0,26891,26603
1,25513,25443
2,24893,24817
3,23208,23116
4,25397,23657
5,24613,25545
6,24407,24830
7,24831,23601
8,22138,23556
9,23417,21883
10,23230,23802
11,22434,23469
12,24304,21422
13,21370,23420
14,20981,21734
15,18742,22707
16,22002,21037
17,19698,19664
18,20178,18119
19,20626,19648
20,15520,16007
21,19609,17768
22,16912,18038
23,18769,19242
24,14476,16633
25,14998,17481
26,16189,13904
27,14150,13068
28,12375,14263
29,12575,13762
30,14289,13528
31,10143,11795
32,10713,16203
33,12950,9960
34,10133,7494
35,16638,13085
36,9100,10148
37,7776,9521
38,6476,9452
39,10201,6641
40,11604,6911
41,8133,10812
42,7450,5015
43,5064,6798
44,4445,4312
45,3962,10763
46,8569,5440
47,5929,3652
48,3268,14181
49,8628,9998
50,4341,5587
51,7147,5261
52,3753,4410
53,5617,7103
54,6869,3800
55,9094,4543
56,4128,19945
57,8932,4904
58,3671,3711
59,3241,6104
60,4438,3123
61,5519,10967
62,5356,4461
63,7742,13171
64,3128,3773
65,4488,4119
66,3463,4167
67,6731,15318
68,4508,5634
69,3073,5607
70,4910,7428
71,7016,7710
72,4572,3757
73,5096,6197
74,10997,4126
75,5360,2944
76,4108,8644
77,9457,7560
78,3813,4624
79,16397,6191
80,4959,6390
81,10681,14326
82,14587,6073
83,8512,17037
84,6997,6580
85,3461,14772
86,6255,5064
87,4023,2911
88,5232,8059
89,4800,5078
90,6901,12813
91,10992,15586
92,12582,5786
93,6542,3793
94,5410,10866
95,3562,5734
96,4681,4280
97,6376,9177
98,13352,8164
99,12372,4733
