,XGB,XGB_GPU,LGB
0,11040,10797,11458
1,10698,10475,10859
2,10063,9984,10704
3,10849,9909,10291
4,10382,10007,10699
5,9826,9951,10384
6,10157,9837,10229
7,10560,10194,10066
8,9003,9338,9922
9,10265,10179,10375
10,10254,9778,9453
11,9926,8937,10085
12,9602,9617,9645
13,9661,9393,10044
14,9545,8689,10042
15,9582,8781,9910
16,9808,8928,8181
17,9499,8948,9769
18,8842,7283,9122
19,9189,7546,9603
20,8402,7479,9151
21,7063,7166,9006
22,8302,7951,8575
23,7835,6321,8309
24,8461,7008,6640
25,7069,7980,5874
26,6116,5825,8033
27,7575,5219,9299
28,5391,4506,5256
29,6071,6213,6622
30,7853,4483,5677
31,4567,2935,7152
32,4448,3827,4359
33,4738,5686,3919
34,4624,4541,5786
35,4594,4018,3938
36,4894,2552,4458
37,3101,3972,5555
38,2879,3233,3458
39,1808,3415,3373
40,2637,2398,4824
41,1977,2701,2808
42,2018,2374,4149
43,3502,2477,2698
44,2976,3992,2952
45,1368,3627,2089
46,2544,2532,2326
47,2760,2415,3275
48,2526,2008,3433
49,3106,1816,3846
50,2296,2354,2542
51,1648,918,3955
52,3100,2147,2755
53,2435,1625,2114
54,1282,1690,2428
55,3975,2028,5389
56,845,3871,5863
57,2996,4341,4220
58,1340,1544,4702
59,1844,1659,2506
60,604,1079,2372
61,5017,1351,5606
62,613,959,6150
63,986,975,4710
64,854,650,2592
65,1653,6080,2824
66,931,1772,3786
67,4606,989,3942
68,1273,2536,2907
69,5558,2050,3657
70,1943,744,6141
71,653,2676,1977
72,632,2771,2571
73,482,875,2054
74,777,1164,5070
75,3448,1381,3140
76,643,577,5004
77,1360,1532,5906
78,471,1724,3541
79,825,3007,2520
80,8237,721,3364
81,1000,740,5955
82,458,848,2195
83,3456,691,3621
84,579,558,6411
85,1726,1292,3190
86,301,4594,2923
87,1079,532,3098
88,1278,822,5032
89,953,744,3515
90,2126,527,2489
91,689,906,4796
92,339,934,3256
93,536,1224,2240
94,919,2130,5562
95,3032,308,2591
96,580,901,5352
97,2774,1468,3431
98,4139,1146,3967
99,5344,2282,7987
