,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
0,0.675191,0.675223,0.675223,0.67519,0.6751530194427089
1,0.65549,0.655779,0.655779,0.65549,0.6556744089332275
2,0.638205,0.638423,0.638423,0.638205,0.6381621046111021
3,0.625605,0.627515,0.627515,0.625606,0.6271034878697854
4,0.61596,0.613373,0.613373,0.615961,0.6142290455318203
5,0.602861,0.602022,0.602022,0.602863,0.6014525015488097
6,0.592781,0.594109,0.594109,0.592783,0.5931966155362259
7,0.58593,0.585083,0.585083,0.585946,0.5864497476471829
8,0.578063,0.578413,0.578413,0.578089,0.5777896354044945
9,0.571179,0.571723,0.571723,0.571201,0.5698496618102272
10,0.562591,0.564867,0.564867,0.562937,0.5626912089938058
11,0.557277,0.556965,0.556965,0.557151,0.555934955232827
12,0.550742,0.550929,0.550929,0.550834,0.5518959992861827
13,0.546316,0.546082,0.546082,0.545713,0.54738462727521
14,0.541411,0.542084,0.542084,0.542062,0.5427246882230942
15,0.536597,0.538657,0.538657,0.535447,0.5376100900049021
16,0.533219,0.532526,0.532526,0.532069,0.534203760758789
17,0.5285,0.530002,0.530002,0.525706,0.5309475417483165
18,0.525789,0.526968,0.526968,0.521064,0.5271945973302794
19,0.520342,0.521985,0.521985,0.51808,0.5193942956947654
20,0.518162,0.516539,0.516539,0.513929,0.5176226413594645
21,0.514375,0.515008,0.515008,0.511705,0.5125614645044918
22,0.512929,0.512551,0.512551,0.509353,0.5105954804645079
23,0.510518,0.507185,0.507185,0.507662,0.5080411522482479
24,0.509272,0.505906,0.505906,0.501601,0.5062459242810611
25,0.505997,0.503695,0.503695,0.500158,0.5000254905129882
26,0.503661,0.501629,0.501629,0.498081,0.49812746776609784
27,0.497405,0.497686,0.497686,0.496671,0.4968907102212715
28,0.495985,0.496108,0.496108,0.491793,0.4926684405242956
29,0.494839,0.492794,0.492794,0.489652,0.48940432015287766
30,0.493034,0.489796,0.489796,0.486863,0.486444047509921
31,0.489062,0.486323,0.486323,0.485796,0.4845735400055463
32,0.487758,0.484662,0.484662,0.48298,0.4810911919244212
33,0.485044,0.483262,0.483262,0.481942,0.4787422988833924
34,0.481788,0.480717,0.480717,0.478686,0.477194297277367
35,0.4809,0.479219,0.479219,0.476405,0.475052703522059
36,0.478576,0.477805,0.477805,0.474765,0.47408332025826605
37,0.475223,0.476912,0.476912,0.472908,0.4730726499145015
38,0.471634,0.474475,0.474475,0.47152,0.47002372879436194
39,0.469989,0.473265,0.473265,0.470354,0.4687840362204167
40,0.468565,0.469968,0.469968,0.468164,0.4671387493177469
41,0.467715,0.468234,0.468234,0.465701,0.46637887462728456
42,0.466874,0.467256,0.467256,0.465164,0.4651069357619987
43,0.466076,0.466529,0.466529,0.461949,0.46404197218286525
44,0.464748,0.462801,0.462801,0.460565,0.4619910627722447
45,0.462322,0.461254,0.461254,0.459293,0.45936394473116204
46,0.46183,0.460242,0.460242,0.456863,0.45902010821195705
47,0.460861,0.459794,0.459794,0.454676,0.4583746810907585
48,0.458779,0.45885,0.45885,0.454223,0.4565497378528352
49,0.455784,0.457557,0.457557,0.453846,0.45571307598921496
50,0.455182,0.455774,0.455774,0.452661,0.454275783658202
51,0.453607,0.455476,0.455476,0.452139,0.4513980140622279
52,0.450962,0.455076,0.455076,0.451856,0.45037392294292256
53,0.450335,0.452407,0.452407,0.448434,0.4497255847228165
54,0.448781,0.45151,0.45151,0.447434,0.44932660492611665
55,0.447876,0.45077,0.45077,0.445994,0.4475406650172557
56,0.446392,0.450322,0.450322,0.445712,0.4471172084989673
57,0.445498,0.448705,0.448705,0.44481,0.4462866495477744
58,0.444988,0.447959,0.447959,0.441588,0.44438229120601924
59,0.443501,0.444814,0.444814,0.439417,0.44409004120114964
60,0.442771,0.443328,0.443328,0.43791,0.44177244699088897
61,0.442366,0.44054,0.44054,0.437165,0.441025641026355
62,0.441049,0.438559,0.438559,0.436151,0.44072693149095765
63,0.440192,0.435424,0.435424,0.435253,0.44031247016597846
64,0.43876,0.434603,0.434603,0.434952,0.43968498336433515
65,0.437435,0.432936,0.432936,0.433964,0.4367478245587961
66,0.437132,0.431279,0.431279,0.433177,0.435345893882264
67,0.436728,0.430081,0.430081,0.432972,0.43481804954541825
68,0.435831,0.429167,0.429167,0.431696,0.4318286014423283
69,0.434864,0.428771,0.428771,0.431201,0.43085575221536077
70,0.433286,0.426665,0.426665,0.429144,0.4287597917159763
71,0.431553,0.425871,0.425871,0.42805,0.42766919286897975
72,0.430309,0.424509,0.424509,0.42771,0.42740291893050847
73,0.429513,0.424139,0.424139,0.427348,0.4246130819006063
74,0.428137,0.423071,0.423071,0.424658,0.4223555807468397
75,0.425477,0.422786,0.422786,0.424098,0.42161460490394986
