,EQBIN_dw,EQBIN_lg,LGB
0,431,431,441
1,415,415,442
2,452,452,428
3,394,394,355
4,395,395,434
5,346,346,320
6,387,387,443
7,323,323,364
8,387,387,417
9,371,371,330
10,375,375,330
11,328,328,442
12,391,391,394
13,361,361,387
14,278,278,335
15,329,329,378
16,326,326,340
17,395,395,362
18,382,382,311
19,297,297,252
20,334,334,317
21,248,248,330
22,385,385,257
23,222,222,216
24,312,312,293
25,299,299,340
26,319,319,256
27,306,306,210
28,356,356,325
29,179,179,309
30,202,202,247
31,356,356,195
32,223,223,307
33,253,253,172
34,199,199,244
35,305,305,336
36,175,175,213
37,302,302,219
38,191,191,280
39,278,278,298
40,205,205,267
41,241,241,254
42,222,222,269
43,262,262,258
44,267,267,244
45,270,270,190
46,272,272,250
47,253,253,195
48,241,241,195
49,186,186,225
50,245,245,253
51,230,230,174
52,182,182,249
53,227,227,199
54,265,265,186
55,218,218,151
56,200,200,234
57,204,204,190
58,229,229,146
59,123,123,221
60,129,129,142
61,266,266,238
62,200,200,154
63,178,178,172
64,237,237,180
65,115,115,202
66,210,210,219
67,171,171,121
68,176,176,173
69,203,203,214
70,209,209,163
71,188,188,148
72,181,181,140
73,130,130,209
74,167,167,118
75,197,197,132
76,182,182,164
77,113,113,217
78,162,162,104
79,142,142,155
80,143,143,174
81,161,161,165
82,144,144,183
83,115,115,183
84,149,149,187
85,162,162,156
86,131,131,128
87,170,170,141
88,148,148,169
89,86,86,131
90,85,85,102
91,139,139,174
92,155,155,180
93,84,84,155
94,169,169,156
95,165,165,177
96,133,133,155
97,129,129,139
98,112,112,123
99,178,178,78
