,hist_dw,hist_lg,hist_GPU,GPU,LGB
0,0.654226,0.654226,0.653821,0.652791,0.6533810149968989
1,0.618451,0.618451,0.618284,0.6193,0.6194884735622395
2,0.587449,0.587449,0.587947,0.589085,0.587853132955448
3,0.557863,0.557863,0.558516,0.559012,0.5592576742961568
4,0.531313,0.531313,0.533479,0.532418,0.5353965657092986
5,0.509814,0.509814,0.507613,0.508464,0.509141900709395
6,0.487742,0.487742,0.485826,0.487561,0.48807015028193673
7,0.466147,0.466147,0.463148,0.46619,0.46672102463656967
8,0.447959,0.447959,0.445623,0.448805,0.4473766277913929
9,0.43005,0.43005,0.426575,0.430482,0.42811982824359457
10,0.41284,0.41284,0.409537,0.412778,0.4130276542412914
11,0.398278,0.398278,0.394775,0.396952,0.3988637128183635
12,0.381371,0.381371,0.382447,0.382995,0.3852986887133412
13,0.369997,0.369997,0.370302,0.372044,0.3733894565581774
14,0.356794,0.356794,0.35597,0.357574,0.3577213381822752
15,0.344715,0.344715,0.34421,0.345634,0.34604769435320093
16,0.333881,0.333881,0.330324,0.333494,0.3343380098417362
17,0.322387,0.322387,0.319291,0.324186,0.32436398212131623
18,0.312337,0.312337,0.308005,0.312177,0.3122706901463469
19,0.302838,0.302838,0.300499,0.303676,0.3014671752390371
20,0.291212,0.291212,0.290591,0.294716,0.2924831873046105
21,0.283262,0.283262,0.282045,0.285379,0.28197142951038395
22,0.276109,0.276109,0.273576,0.277079,0.27184488101830695
23,0.267702,0.267702,0.265358,0.266371,0.26508558075804795
24,0.258463,0.258463,0.256781,0.255822,0.2559859620652523
25,0.249804,0.249804,0.251129,0.249474,0.2506762920587593
26,0.243634,0.243634,0.243253,0.242583,0.24402374776474967
27,0.236483,0.236483,0.236414,0.236026,0.23630946245275947
28,0.230956,0.230956,0.229239,0.22855,0.22990048665498006
29,0.222095,0.222095,0.224349,0.222274,0.2236692946325015
30,0.217109,0.217109,0.219463,0.216609,0.21822956870743132
31,0.2112,0.2112,0.213865,0.210542,0.21459953807751772
32,0.205893,0.205893,0.207966,0.205914,0.2092153168590603
33,0.202023,0.202023,0.203512,0.202594,0.20372031563448365
34,0.197239,0.197239,0.198623,0.198179,0.19863409890392197
35,0.192134,0.192134,0.193482,0.194747,0.19320289474842067
36,0.186056,0.186056,0.188372,0.189563,0.1880404693931314
37,0.180492,0.180492,0.183622,0.184053,0.18372038085951248
38,0.176474,0.176474,0.179389,0.177978,0.17905250255643604
39,0.171906,0.171906,0.175789,0.173923,0.17492847038891063
40,0.16801,0.16801,0.171925,0.169933,0.17074594722517553
41,0.164659,0.164659,0.168647,0.166787,0.16738285483085918
42,0.160007,0.160007,0.163631,0.162936,0.16381996352796496
43,0.156038,0.156038,0.161257,0.15981,0.15979320950365683
44,0.151754,0.151754,0.156707,0.15597,0.15667896284384134
45,0.148671,0.148671,0.154073,0.151963,0.15342843610905788
46,0.146633,0.146633,0.150233,0.147208,0.15063394975620698
47,0.143956,0.143956,0.146532,0.14489,0.14636984010360013
48,0.141843,0.141843,0.142027,0.141021,0.1433648610766507
49,0.137378,0.137378,0.138855,0.138385,0.13999002706607966
50,0.134163,0.134163,0.136234,0.136394,0.13598033609113694
51,0.13127,0.13127,0.132603,0.132511,0.1337605862697837
52,0.12885,0.12885,0.129488,0.130596,0.13069364756251117
53,0.126391,0.126391,0.127775,0.127895,0.128121780014708
54,0.123755,0.123755,0.125466,0.125053,0.12518757834511637
55,0.119751,0.119751,0.123056,0.123478,0.12231391302385744
56,0.117372,0.117372,0.120208,0.1212,0.11971714049041428
57,0.115718,0.115718,0.117824,0.119533,0.11705212158188834
58,0.112211,0.112211,0.115979,0.117927,0.11489569911098074
59,0.111127,0.111127,0.114151,0.116036,0.11343504930717459
60,0.108995,0.108995,0.111745,0.113789,0.11150296961924783
61,0.105831,0.105831,0.110116,0.111332,0.10998994589915889
62,0.10355,0.10355,0.107918,0.110205,0.1081236853369232
63,0.101403,0.101403,0.105546,0.107141,0.1063255414467752
64,0.099428,0.099428,0.103295,0.106146,0.1053525538254497
65,0.097351,0.097351,0.100848,0.104435,0.10352558369273294
66,0.095785,0.095785,0.099928,0.10353,0.10277070865643034
67,0.093921,0.093921,0.098892,0.101797,0.10157064232925013
68,0.091356,0.091356,0.097543,0.10085,0.0999194294321973
69,0.089417,0.089417,0.096179,0.099969,0.09761697253464774
70,0.087618,0.087618,0.094315,0.097636,0.09621670185594153
71,0.086756,0.086756,0.092146,0.095527,0.09363544691255661
72,0.085137,0.085137,0.090367,0.093565,0.09143954233886352
73,0.083449,0.083449,0.088508,0.091365,0.08989017156327832
74,0.08253,0.08253,0.087554,0.089241,0.08777262634297471
75,0.080817,0.080817,0.086774,0.088044,0.08694414897052488
76,0.079472,0.079472,0.085093,0.08695,0.08509061248727767
77,0.078188,0.078188,0.084321,0.084971,0.08415444742829811
78,0.077259,0.077259,0.083423,0.083607,0.0819067163007487
79,0.076126,0.076126,0.082463,0.082813,0.08041960777205928
80,0.074551,0.074551,0.080923,0.081338,0.0793189560473521
81,0.07271,0.07271,0.08019,0.080101,0.07851016082048863
82,0.071841,0.071841,0.078933,0.079249,0.07700424816704189
83,0.070969,0.070969,0.07716,0.078512,0.07522506678071313
84,0.069498,0.069498,0.075864,0.076836,0.07375908590022233
85,0.068508,0.068508,0.074925,0.075371,0.0730614477797363
86,0.067339,0.067339,0.073532,0.074695,0.07144767720690547
87,0.066662,0.066662,0.072217,0.073737,0.07089712980266893
88,0.065192,0.065192,0.071215,0.073012,0.06925847878568135
89,0.063719,0.063719,0.070512,0.072286,0.06785414686419654
90,0.063032,0.063032,0.069428,0.070403,0.06621995576520548
91,0.062524,0.062524,0.068069,0.069364,0.06555769791527921
92,0.061435,0.061435,0.066766,0.068777,0.06469742379541245
93,0.060123,0.060123,0.066112,0.067163,0.0634385395929189
94,0.059659,0.059659,0.065494,0.066174,0.06231845006745896
95,0.058578,0.058578,0.064316,0.065189,0.061263432220065764
96,0.057485,0.057485,0.063279,0.064328,0.06065673847797394
97,0.056293,0.056293,0.062042,0.063502,0.05999539906777596
98,0.055503,0.055503,0.06105,0.062564,0.059384625824116063
99,0.054325,0.054325,0.060104,0.062005,0.05813546110897097
