,XGB_CPU,XGB_GPU,LGBM
0,976,975,970
1,989,972,986
2,964,940,942
3,979,976,985
4,971,949,991
5,984,975,969
6,941,941,983
7,989,976,944
8,938,944,991
9,952,938,964
10,968,956,988
11,931,920,971
12,964,945,973
13,974,929,938
14,965,918,933
15,897,941,965
16,935,908,986
17,902,948,924
18,949,907,938
19,917,969,949
20,952,891,900
21,879,820,896
22,976,936,898
23,914,901,954
24,909,737,903
25,932,953,963
26,980,778,787
27,829,835,860
28,735,797,815
29,605,744,771
30,790,702,599
31,509,582,574
32,590,884,847
33,697,592,644
34,657,730,613
35,733,431,741
36,481,488,498
37,786,788,721
38,412,379,762
39,562,595,467
40,685,591,671
41,572,487,635
42,425,617,570
43,574,798,656
44,358,357,552
45,746,546,566
46,569,586,725
47,550,430,475
48,583,647,614
49,622,484,726
