,XGB,XGB_GPU,LGB
f8,0.216371666598,0.214769564942,0.173186008007
f26,0.0989979931214,0.0960191794145,0.106636876388
f4,0.0724408080082,0.0746223881998,0.102415046942
f22,0.0616810071829,0.0612117154958,0.075968664234
f28,0.0569113153509,0.0564535723287,0.0693823430629
f9,0.0543602013574,0.055838983422,0.0403895661663
f30,0.0541917879428,0.0552872669735,0.0840405357736
f19,0.0487488976482,0.0479064264643,0.066927403444
f16,0.0467602210538,0.0451032904166,0.0312032137283
f23,0.0419388641971,0.0433955240813,0.0305753164679
f13,0.0407171819144,0.0407585356461,0.0655173317315
f1,0.0389267805082,0.0396552076975,0.0532218702252
f15,0.0371117733415,0.0347430445944,0.0218480448106
f27,0.0342206064325,0.0344409843944,0.0329510233099
f25,0.0292294453667,0.0298438438962,0.0208512891554
f0,0.0283938142698,0.0288279220995,0.018793164536
f7,0.00258890039255,0.00256529811761,0.00041618620289
f5,0.00256215538108,0.00257179299215,0.000408475320909
f20,0.00253635710773,0.00268352825991,0.000380113093216
f21,0.00252836369519,0.00254509638186,0.000393364538673
f6,0.00249606061236,0.002526230634,0.000346646818507
f17,0.00247974760233,0.00265451131111,0.000376164090758
f3,0.00246259246754,0.00270178320415,0.000378386930797
f10,0.0024614926318,0.00241764810825,0.000354788950594
f11,0.00246020479943,0.00250621957972,0.000429559651085
f12,0.00245838604658,0.0023289512242,0.000405918082076
f24,0.00245563975901,0.00260822103919,0.00037745390491
f14,0.00243210107638,0.00243569967004,0.000384276306196
f29,0.00235673694213,0.00287353272417,0.000350392896719
f18,0.00232249780892,0.00251218290162,0.000335204804063
f31,0.00221630087639,0.00268266683679,0.000371039850437
f2,0.00218009850687,0.00250918694836,0.000384330575813
