,hist_dw,hist_lg,hist_GPU,GPU,LGB
0,12370,12370,12223,12306,12432
1,11383,11383,11253,11196,11260
2,11847,11847,11659,11873,11575
3,11805,11805,11592,11567,11238
4,11966,11966,11774,11765,11703
5,11838,11838,12057,12074,12119
6,12302,12302,12427,12465,11933
7,12466,12466,12056,12233,12179
8,12091,12091,11623,12081,12198
9,12445,12445,12683,12369,12221
10,12938,12938,11345,11193,12055
11,11800,11800,12469,12234,12129
12,12493,12493,12304,12721,12645
13,12681,12681,11899,12014,12374
14,12095,12095,11030,11520,11084
15,11097,11097,10620,12144,10656
16,9970,9970,10159,10215,12443
17,11886,11886,12218,11625,9788
18,10314,10314,9581,9391,9550
19,10133,10133,9773,12017,11672
20,9465,9465,11259,9242,9957
21,10231,10231,9245,9486,9436
22,9053,9053,8477,8738,11623
23,8375,8375,10506,8185,7974
24,11432,11432,12065,11352,7886
25,8524,8524,8055,8157,8657
26,9346,9346,10974,9660,10981
27,7868,7868,9063,7604,7741
28,10798,10798,8020,7293,8438
29,7724,7724,7545,6810,10883
30,6847,6847,10459,7569,7177
31,7328,7328,6997,6831,6693
32,6830,6830,6976,6541,6622
33,7251,7251,8484,8065,9076
34,8233,8233,6375,7162,7468
35,6417,6417,6921,5924,5961
36,5683,5683,6172,6733,6802
37,7196,7196,6405,5540,5525
38,6554,6554,6789,5366,6106
39,7216,7216,6411,6910,5221
40,7061,7061,6687,4376,4367
41,6951,6951,5740,4829,3891
42,4236,4236,4723,3685,5784
43,5425,5425,3949,5046,6825
44,4308,4308,6615,4676,6070
45,5307,5307,4847,5922,6052
46,3401,3401,4288,5145,4253
47,4431,4431,3611,5114,4081
48,4071,4071,4009,3989,4585
49,4134,4134,2366,3334,3578
50,3473,3473,2130,3129,3635
51,4543,4543,4805,3107,3590
52,4797,4797,5494,3028,3907
53,3647,3647,2523,3361,2270
54,2231,2231,3219,1863,4946
55,2164,2164,4790,2725,3571
56,2587,2587,4959,1849,3753
57,4775,4775,1583,3813,10067
58,2931,2931,5816,1564,4222
59,4088,4088,2599,1234,5523
60,2695,2695,3702,1542,9065
61,2828,2828,8442,8846,9329
62,8546,8546,4026,2543,2558
63,6349,6349,1471,6263,2913
64,2370,2370,9528,854,7816
65,8926,8926,4741,2224,9162
66,2292,2292,6745,1753,6336
67,4861,4861,2250,1389,3266
68,5320,5320,2270,1090,5299
69,1778,1778,1683,3752,1193
70,5844,5844,1306,2587,5422
71,1494,1494,2540,2202,5285
72,5521,5521,5954,2884,1522
73,5260,5260,1575,3236,9920
74,5082,5082,1605,568,3150
75,3224,3224,6076,6643,2347
76,9007,9007,1617,1411,980
77,3458,3458,2959,4583,2442
78,1960,1960,6568,2247,976
79,2076,2076,1439,3948,2383
80,1123,1123,2907,4092,923
81,1658,1658,3853,3758,8948
82,2342,2342,3164,1024,4069
83,6102,6102,4978,1209,6867
84,4804,4804,1186,1159,2669
85,2786,2786,6736,713,4281
86,3759,3759,1244,4025,2725
87,1730,1730,3296,5304,2072
88,1029,1029,3148,1078,3521
89,1677,1677,1389,222,4973
90,981,981,5184,2961,1130
91,6109,6109,1019,1295,4896
92,2744,2744,4564,3056,6118
93,6824,6824,5587,8602,2430
94,4269,4269,1345,1308,2741
95,7771,7771,1632,855,3197
96,3406,3406,5276,1425,3411
97,2727,2727,4226,7162,6977
98,1680,1680,2252,1241,997
99,8957,8957,7340,896,6734
