,XGB,XGB_GPU,LGB
0,994,986,993
1,1015,996,1009
2,984,965,976
3,963,953,1007
4,989,971,986
5,1003,961,1001
6,993,968,991
7,973,958,990
8,979,954,985
9,920,968,978
10,989,903,999
11,918,900,940
12,968,949,948
13,969,936,900
14,956,897,980
15,940,844,950
16,955,889,958
17,969,874,964
18,906,924,956
19,926,930,940
20,879,887,840
21,832,849,902
22,835,889,881
23,897,928,935
24,890,963,906
25,903,863,965
26,742,976,735
27,848,772,773
28,787,612,950
29,958,932,617
30,631,873,770
31,589,606,985
32,624,948,577
33,990,479,584
34,712,725,992
35,490,553,644
36,462,390,814
37,991,801,588
38,946,375,670
39,766,789,507
40,530,816,446
41,443,449,520
42,894,538,668
43,471,417,537
44,383,529,549
45,964,619,750
46,383,759,533
47,527,322,457
48,444,480,483
49,681,476,521
50,459,315,737
51,603,444,599
52,332,655,549
53,843,674,458
54,446,548,715
55,739,859,557
56,222,763,915
57,303,490,890
58,465,520,530
59,896,566,846
60,229,371,807
61,249,745,497
62,557,261,715
63,655,250,455
64,732,336,453
65,282,474,786
66,397,407,596
67,376,211,684
68,565,187,472
69,267,200,584
70,255,567,829
71,254,317,472
72,581,372,810
73,509,499,755
74,310,233,463
75,389,225,588
76,474,422,739
77,292,260,459
78,698,323,709
79,548,657,431
80,347,221,754
81,283,803,858
82,444,259,474
83,353,534,687
84,395,804,891
85,426,501,676
86,162,165,638
87,786,239,450
88,175,360,689
89,239,915,548
90,358,736,774
91,202,688,739
92,201,130,686
93,493,265,439
94,330,804,537
95,759,211,603
96,586,216,627
97,860,124,511
98,636,275,479
99,281,378,584
