n_train,num_leaves,max_depth,no_depth_limit,depth,depth_8,depth_18
1000000,2048,12,29.5062870979,17.1083328724,8.88192796707,27.0390820503
1000000,8192,14,80.1405880451,30.6399531364,9.38551092148,61.5659170151
1000000,32768,16,382.077888966,82.071228981,11.6816170216,154.576459169
2000000,2048,12,50.1500940323,30.2229180336,16.1426129341,48.050506115
2000000,8192,14,114.110168219,52.3903448582,16.8852291107,98.3129160404
2000000,32768,16,490.003770828,127.211189032,18.9651827812,234.578819036
4000000,2048,12,96.3885500431,60.3765938282,33.6693358421,90.5395350456
4000000,8192,14,176.513642073,102.310972929,34.7368979454,163.230859995
4000000,32768,16,592.524494171,217.738529921,37.417746067,368.381090164
