,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
0,12306,12370,12370,11401,12192
1,11196,11383,11383,11083,11300
2,11873,11847,11847,11619,11826
3,11567,11805,11805,11478,11557
4,11765,11966,11966,11524,11737
5,12074,11838,11838,11895,12058
6,12465,12302,12302,12166,12642
7,12233,12466,12466,11983,12094
8,12081,12091,12091,12222,12432
9,12369,12445,12445,11524,12481
10,11193,12938,12938,11811,11753
11,12234,11800,11800,11091,12177
12,12721,12493,12493,12678,11967
13,12014,12681,12681,12447,11527
14,11520,12095,12095,11982,11047
15,12144,11097,11097,9922,11072
16,10215,9970,9970,12244,10452
17,11625,11886,11886,10165,12099
18,9391,10314,10314,9705,10032
19,12017,10133,10133,11437,9822
20,9242,9465,9465,11782,11888
21,9486,10231,10231,8856,9684
22,8738,9053,9053,10991,8855
23,8185,8375,8375,8529,11481
24,11352,11432,11432,8312,9414
25,8157,8524,8524,10840,8017
26,9660,9346,9346,8218,8338
27,7604,7868,7868,7806,7456
28,7293,10798,10798,7598,7680
29,6810,7724,7724,8585,11109
30,7569,6847,6847,7446,9032
31,6831,7328,7328,6319,6695
32,6541,6830,6830,6874,6791
33,8065,7251,7251,6513,10146
34,7162,8233,8233,6761,9052
35,5924,6417,6417,6578,7022
36,6733,5683,5683,6121,6500
37,5540,7196,7196,5655,6806
38,5366,6554,6554,5705,5898
39,6910,7216,7216,4265,6631
40,4376,7061,7061,5248,4726
41,4829,6951,6951,4134,5284
42,3685,4236,4236,3574,7017
43,5046,5425,5425,6372,4898
44,4676,4308,4308,6775,5781
45,5922,5307,5307,6339,5143
46,5145,3401,3401,4351,3870
47,5114,4431,4431,5035,3730
48,3989,4071,4071,3219,4476
49,3334,4134,4134,2183,2477
50,3129,3473,3473,4317,3855
51,3107,4543,4543,2666,4914
52,3028,4797,4797,2260,3193
53,3361,3647,3647,2815,3947
54,1863,2231,2231,6236,6563
55,2725,2164,2164,2349,5160
56,1849,2587,2587,9824,6633
57,3813,4775,4775,3574,4460
58,1564,2931,2931,4814,4056
59,1234,4088,4088,3085,5848
60,1542,2695,2695,6436,1572
61,8846,2828,2828,2151,5884
62,2543,8546,8546,4342,4864
63,6263,6349,6349,1838,4745
64,854,2370,2370,613,3515
65,2224,8926,8926,724,1345
66,1753,2292,2292,1826,1535
67,1389,4861,4861,799,1243
68,1090,5320,5320,4648,6336
69,3752,1778,1778,3329,4394
70,2587,5844,5844,1277,2146
71,2202,1494,1494,1401,2369
72,2884,5521,5521,662,6140
73,3236,5260,5260,1959,2986
74,568,5082,5082,1033,3792
75,6643,3224,3224,778,4637
76,1411,9007,9007,1704,2959
77,4583,3458,3458,4626,1160
78,2247,1960,1960,1963,2215
79,3948,2076,2076,2114,2784
80,4092,1123,1123,1809,5996
81,3758,1658,1658,1134,7843
82,1024,2342,2342,1378,3896
83,1209,6102,6102,3657,5392
84,1159,4804,4804,676,4014
85,713,2786,2786,5419,3708
86,4025,3759,3759,918,1206
87,5304,1730,1730,1239,6109
88,1078,1029,1029,3375,4345
89,222,1677,1677,6320,796
90,2961,981,981,1539,4613
91,1295,6109,6109,2600,1032
92,3056,2744,2744,2549,4875
93,8602,6824,6824,962,7267
94,1308,4269,4269,800,2384
95,855,7771,7771,1433,4827
96,1425,3406,3406,1149,1437
97,7162,2727,2727,1479,4862
98,1241,1680,1680,904,1950
99,896,8957,8957,631,2597
