,XGB,XGB_GPU,LGB
f2,0.756971266069,0.761319147773,0.614014230745
f7,0.0445758711664,0.0435479554318,0.0678555051094
f14,0.0443694734221,0.0442230428582,0.102252178166
f0,0.0411447495851,0.0410799297786,0.0828617193849
f13,0.036051428121,0.0349832469148,0.0745709005392
f3,0.0296884287428,0.0276159446657,0.0285465402957
f8,0.0203273244227,0.0182173176758,0.0143944178997
f4,0.0165630912293,0.0166765000977,0.0126055263138
f5,0.0013426704667,0.00161676176263,0.000355456511535
f15,0.00133877672817,0.00144140927022,0.00036979939464
f6,0.00131002771914,0.00146866414814,0.000381407427074
f11,0.00130996040715,0.00149358541627,0.000347886171215
f12,0.00125558385004,0.00139894790474,0.000359486191837
f9,0.00125552448896,0.00153874150095,0.00037337107435
f10,0.0012533696053,0.00162752866641,0.000348640514135
f1,0.00124245397639,0.00175127613514,0.00036293426181
