,EQBIN_dw,EQBIN_lg,LGB
0,1024,1024,1024
1,1024,1024,1024
2,1024,1024,1024
3,1024,1024,1024
4,1024,1024,1024
5,1024,1024,1024
6,1024,1024,1024
7,1024,1024,1024
8,1024,1024,1024
9,1024,1024,1024
10,1024,1024,1024
11,1024,1024,1024
12,1024,1024,1024
13,1024,1024,1024
14,1024,1024,1024
15,1024,1024,1024
16,1024,1024,1024
17,1024,1024,1024
18,982,959,957
19,1024,1024,1024
20,1024,1024,1017
21,1024,1024,984
22,940,967,852
23,877,817,867
24,975,971,973
25,938,930,798
26,887,758,829
27,920,850,917
28,867,880,798
29,872,799,858
30,817,809,833
31,784,819,809
32,797,752,750
33,770,702,767
34,779,703,736
35,749,706,700
36,737,677,716
37,685,681,674
38,666,700,648
39,697,641,626
40,613,677,619
41,648,627,633
42,642,633,625
43,628,613,583
44,628,616,566
45,575,579,580
46,604,556,530
47,562,561,527
48,578,542,546
49,518,515,537
50,545,507,509
51,493,511,463
52,525,506,501
53,515,481,483
54,488,469,462
55,464,452,458
56,464,449,480
57,467,401,436
58,464,446,447
59,413,439,425
60,443,408,417
61,422,413,420
62,416,420,402
63,409,381,403
64,411,399,401
65,385,361,390
66,389,367,382
67,392,375,340
68,364,366,365
69,374,362,352
70,379,302,338
71,328,333,352
72,339,347,337
73,339,326,306
74,344,332,327
75,337,325,318
76,326,311,241
77,336,305,316
78,316,293,306
79,318,310,302
80,297,284,290
81,298,303,291
82,299,289,284
83,292,291,279
84,279,282,283
85,296,273,251
86,288,273,283
87,256,272,250
88,264,270,270
89,264,239,271
90,255,259,254
91,247,251,252
92,256,248,249
93,260,251,228
94,224,253,254
95,243,248,230
96,233,227,239
97,220,244,239
98,234,218,238
99,234,229,222
