,EQBIN_dw,EQBIN_lg,LGB
f236,0.03161638568900976,0.03161638568900976,0.06705952688963995
f18,0.011933240471323936,0.011933240471323936,0.02060619197032381
f40,0.011544695592285081,0.011544695592285081,0.013962962022136257
f233,0.011215928918476276,0.011215928918476276,0.0210984429214729
f43,0.01066767335772887,0.01066767335772887,0.01987625824161301
f214,0.010557697890623897,0.010557697890623897,0.015467057408007266
f194,0.010532064755116536,0.010532064755116536,0.01970105674398544
f182,0.01006566042991511,0.01006566042991511,0.022029570653707163
f11,0.00994219474336427,0.00994219474336427,0.015395709457749344
f114,0.00933118313076136,0.00933118313076136,0.02495856175501082
f107,0.009203785112360844,0.009203785112360844,0.013319790694775863
f96,0.009140390810518397,0.009140390810518397,0.014295455011822184
f249,0.009045060753965401,0.009045060753965401,0.01222315620100928
f56,0.009012032536166057,0.009012032536166057,0.012165930109051832
f57,0.008869601862052566,0.008869601862052566,0.0256738704868982
f14,0.00854771186402394,0.00854771186402394,0.007902644715806359
f34,0.008384410105068086,0.008384410105068086,0.011006074681089497
f162,0.008333209537745375,0.008333209537745375,0.0059457790265071645
f171,0.00832027996908818,0.00832027996908818,0.014822792589154568
f33,0.008242636696264696,0.008242636696264696,0.01520830691994898
f142,0.008134971213042694,0.008134971213042694,0.008481579759314765
f80,0.008041527264445401,0.008041527264445401,0.0038444741167075022
f186,0.008031833267853585,0.008031833267853585,0.0061364305689409785
f244,0.007890492348793951,0.007890492348793951,0.011164737783827337
f83,0.007828697027370315,0.007828697027370315,0.010987128756461403
f207,0.00777478182994975,0.00777478182994975,0.002731844870662172
f150,0.007641419333812553,0.007641419333812553,0.011499396730503268
f247,0.007640924927334901,0.007640924927334901,0.012902815087460951
f85,0.007409396086702628,0.007409396086702628,0.01299772995338684
f24,0.0073980671255526485,0.0073980671255526485,0.012624181421731858
f175,0.00729171415273051,0.00729171415273051,0.008308114091241747
f122,0.0072609325390230505,0.0072609325390230505,0.00946519823880898
f240,0.007144535781363583,0.007144535781363583,0.009010125932882291
f112,0.007064153846975772,0.007064153846975772,0.007322032128696728
f8,0.006934703637252567,0.006934703637252567,0.010059719537564609
f245,0.006838682891630352,0.006838682891630352,0.008308987979157193
f230,0.0068180121544889885,0.0068180121544889885,0.005252136867957264
f255,0.006766319064718969,0.006766319064718969,0.013249673768324685
f238,0.006684713592442998,0.006684713592442998,0.013262656688499649
f199,0.006613711007309527,0.006613711007309527,0.010123319708452776
f77,0.00659912525758542,0.00659912525758542,0.01170770586585145
f51,0.006586385418795206,0.006586385418795206,0.004686832603353189
f143,0.006580952542314903,0.006580952542314903,0.009853303799183963
f242,0.006554084557704423,0.006554084557704423,0.009322615677283324
f19,0.00647891426448742,0.00647891426448742,0.007124488709166682
f179,0.006357803418142014,0.006357803418142014,0.006559492348153251
f149,0.0063402645843845225,0.0063402645843845225,0.004998628853955716
f9,0.006330582886322225,0.006330582886322225,0.009668980075476497
f120,0.006267717585969577,0.006267717585969577,0.005873094304005602
f109,0.0062313280565487825,0.0062313280565487825,0.0028666506180307014
f32,0.006201476426450418,0.006201476426450418,0.01389970126008438
f201,0.00619782058821522,0.00619782058821522,0.0035783373738177845
f195,0.006197680292898354,0.006197680292898354,0.007298216885067925
f221,0.006158777722971187,0.006158777722971187,0.012324565412084416
f129,0.006146348088207931,0.006146348088207931,0.005207856646321049
f136,0.006059617796380005,0.006059617796380005,0.007004984279872223
f193,0.006009144786832005,0.006009144786832005,0.006489404286216402
f61,0.006004326200532947,0.006004326200532947,0.004727185563049033
f183,0.005916570222317164,0.005916570222317164,0.007437676262350513
f152,0.005873534593775973,0.005873534593775973,0.0035214268841326024
f111,0.005791375652721947,0.005791375652721947,0.012290476223844
f88,0.005766891324376945,0.005766891324376945,0.0025858864934234223
f45,0.005756675613906936,0.005756675613906936,0.007743717037390879
f103,0.0057406822616619625,0.0057406822616619625,0.004051312874682987
f168,0.00570830422753741,0.00570830422753741,0.004766527021693026
f10,0.0056333692255973586,0.0056333692255973586,0.005062794162596138
f208,0.005622424252512512,0.005622424252512512,0.005984690405349943
f163,0.005622104619031348,0.005622104619031348,0.00726423751133437
f156,0.005592013061813078,0.005592013061813078,0.004997996770316606
f119,0.005571901807990544,0.005571901807990544,0.003529640327856459
f161,0.005303933481895421,0.005303933481895421,0.003109941361945629
f124,0.005284776186527073,0.005284776186527073,0.004161715473417631
f38,0.005283155663508095,0.005283155663508095,0.007217503434487962
f254,0.005247068328933542,0.005247068328933542,0.004910149043313259
f63,0.005228219715114303,0.005228219715114303,0.003826494768195528
f200,0.005215613457221311,0.005215613457221311,0.006097142813005806
f250,0.005179300962602493,0.005179300962602493,0.005022018924162396
f65,0.005172821281907022,0.005172821281907022,0.0025960965385224077
f148,0.0051515894153311625,0.0051515894153311625,0.004545192027770658
f23,0.005148960558796812,0.005148960558796812,0.0022302600129115377
f22,0.0050813146676022365,0.0050813146676022365,0.0013451075373555675
f25,0.005065785620664124,0.005065785620664124,0.006807353471020198
f62,0.005025708458701841,0.005025708458701841,0.00824039534512108
f185,0.005000082011605546,0.005000082011605546,0.0058407489723002965
f224,0.004952094597374497,0.004952094597374497,0.005701750189241709
f50,0.004915868102946648,0.004915868102946648,0.004367489264386955
f146,0.004888795450177703,0.004888795450177703,0.0034779919938914203
f42,0.004818913308000708,0.004818913308000708,0.004754942443567901
f237,0.004810214096281158,0.004810214096281158,0.006177933450596112
f141,0.004799492211779586,0.004799492211779586,0.0038600094539160616
f116,0.004787029290934112,0.004787029290934112,0.005942176370000217
f243,0.004763428628806914,0.004763428628806914,0.007291213887875561
f21,0.004688997649249433,0.004688997649249433,0.0017085863648120645
f6,0.004651871797419589,0.004651871797419589,0.004900234702820634
f144,0.004588676221946934,0.004588676221946934,0.0036079601453285924
f176,0.004579891329372335,0.004579891329372335,0.005649126156685379
f74,0.004524105746512009,0.004524105746512009,0.0017369515609462058
f216,0.004478830575068073,0.004478830575068073,0.0027174448724918056
f130,0.004465532387734636,0.004465532387734636,0.00513761039397644
