,hist_dw,hist_lg,hist_GPU,GPU,LGB
0,9049,9049,8868,8746,8178
1,8232,8232,8195,8280,8455
2,8575,8575,8535,8227,8196
3,8228,8228,7961,8657,8346
4,9018,9018,9009,8172,8997
5,8407,8407,8415,8812,8551
6,8470,8470,8264,8069,8609
7,8904,8904,8747,8314,8621
8,8550,8550,8921,8699,8657
9,9205,9205,8511,8770,8784
10,8349,8349,8270,8906,8760
11,8204,8204,8835,8028,8951
12,8116,8116,7446,8537,8578
13,8322,8322,8481,7703,8029
14,8629,8629,8436,7855,8694
15,7866,7866,8356,8758,8915
16,8288,8288,8472,8821,8172
17,8206,8206,8957,7941,7804
18,8268,8268,8222,8605,8176
19,7919,7919,7453,7768,8016
20,7908,7908,7962,7382,8190
21,7626,7626,6976,7400,7346
22,8085,8085,7471,7895,8324
23,7776,7776,7402,6904,6587
24,7716,7716,7036,6750,6698
25,6849,6849,6713,7156,6644
26,6044,6044,6834,6103,6734
27,6308,6308,5898,6749,6535
28,6386,6386,6729,6068,7343
29,5984,5984,6083,6049,6432
30,6273,6273,6070,5997,5712
31,6036,6036,6345,6546,5482
32,5825,5825,5825,5271,6545
33,5633,5633,5518,5146,5265
34,5308,5308,5476,5417,5807
35,5916,5916,4863,5035,5593
36,5681,5681,6554,4836,5673
37,4505,4505,4434,5988,6162
38,5176,5176,5866,5440,5962
39,4553,4553,4325,5373,4322
40,4480,4480,3752,4767,4538
41,3861,3861,5024,5244,3862
42,3819,3819,6202,5478,5389
43,5404,5404,3948,5428,5088
44,5552,5552,4279,3095,3954
45,3104,3104,3608,5237,4766
46,4292,4292,5713,4948,3699
47,4483,4483,3372,3228,3806
48,3712,3712,4281,4279,4029
49,3202,3202,3581,3495,3232
50,2807,2807,4363,4515,3010
51,3063,3063,2587,4814,1636
52,5562,5562,2643,2754,2315
53,2132,2132,2562,1491,4299
54,2403,2403,1255,2575,2221
55,1611,1611,3094,1054,1733
56,2141,2141,1639,832,3648
57,2955,2955,2531,1977,1584
58,2435,2435,1724,1054,5417
59,1442,1442,1881,455,2381
60,1795,1795,3184,610,1429
61,5335,5335,2433,1379,902
62,1204,1204,1994,2175,2105
63,2462,2462,1833,862,1226
64,2291,2291,1337,1847,1802
65,1671,1671,1022,817,1687
66,900,900,2784,3613,824
67,1685,1685,1775,934,1089
68,2403,2403,1478,5333,1247
69,1837,1837,3911,1510,2331
70,2715,2715,1557,1710,3533
71,2716,2716,4960,2145,2636
72,923,923,3373,800,2806
73,1950,1950,898,1295,926
74,1348,1348,3158,538,4079
75,3364,3364,3130,490,5181
76,741,741,3829,492,5072
77,6276,6276,1091,4902,5668
78,1760,1760,4985,2135,2847
79,1753,1753,1624,780,2629
80,1090,1090,836,675,1814
81,2780,2780,5386,1428,978
82,3446,3446,5353,729,870
83,2912,2912,1300,1823,704
84,5440,5440,4319,963,5256
85,3570,3570,2916,4786,3116
86,2371,2371,5942,456,4258
87,754,754,2954,183,1490
88,4019,4019,3911,1082,5777
89,4290,4290,3583,1786,2604
90,2919,2919,1487,4554,2916
91,4214,4214,4664,409,1711
92,4844,4844,2662,315,3608
93,4416,4416,501,214,4572
94,2171,2171,5595,1405,1167
95,3847,3847,2205,1135,3266
96,2566,2566,2087,398,5536
97,6303,6303,1825,1484,798
98,1362,1362,2203,1860,2996
99,1552,1552,2076,3606,979
