,no_depth_limit,depth,depth_8,depth_18
0,8192,7140,256,8192
1,8192,7075,256,8192
2,8192,7085,256,8192
3,8192,7063,256,8192
4,8192,7200,256,8192
5,8192,7092,256,8192
6,8192,7024,256,8192
7,8192,7086,256,8192
8,8192,7045,256,8192
9,8192,6956,256,8192
10,8192,6997,256,8192
11,8192,6955,255,8192
12,8192,6924,256,8192
13,8192,6869,256,8192
14,8192,6617,256,8192
15,8192,6633,256,8192
16,8192,6744,256,8192
17,8192,6832,256,8192
18,8192,6697,256,8192
19,8192,6477,256,8192
20,8192,6411,256,8192
21,8192,6735,256,8192
22,8192,6185,255,8192
23,8192,6706,256,8192
24,8192,6183,254,8192
25,8192,5532,250,8192
26,8192,5614,256,8192
27,8192,5809,255,8192
28,8192,5567,250,8192
29,8192,4596,252,8192
30,8192,6257,238,8192
31,8192,6554,254,8192
32,8192,5997,239,8192
33,8192,6451,250,8192
34,8192,3334,252,8192
35,8192,5438,245,8192
36,8192,4042,245,8192
37,8192,4768,244,8192
38,8192,2518,239,8192
39,8192,2638,255,8192
40,8192,2298,244,8192
41,8192,3783,216,8192
42,8192,4771,250,8192
43,8192,2482,254,8192
44,8192,5151,248,8192
45,8192,2585,242,8192
46,8192,2000,248,8192
47,8192,2848,254,8192
48,8192,1998,240,8192
49,8192,2867,236,8192
50,8192,2457,213,8192
51,8192,5517,238,8192
52,8192,3070,256,7030
53,8192,2143,243,8192
54,8192,2219,218,8192
55,8192,4492,236,8192
56,8192,2946,235,8192
57,8192,4971,256,7608
58,8192,3974,255,8192
59,8192,1890,250,7407
60,8192,2367,245,8192
61,8192,4867,254,8192
62,8192,3360,231,8192
63,8192,4004,218,8192
64,8192,2203,233,8192
65,8192,4848,256,8192
66,8192,3753,256,8192
67,8192,2021,248,8192
68,8192,2702,243,7689
69,8192,2557,231,8192
70,8192,2928,244,8192
71,8192,5358,256,8192
72,8192,4717,256,8192
73,8192,4689,256,8192
74,8192,3264,230,8192
75,8192,4519,211,8192
76,8192,3038,222,8192
77,8192,5521,246,6052
78,8192,3291,227,8192
79,8192,4776,243,8192
80,8192,2507,218,8192
81,8192,4498,234,8192
82,8192,2396,252,8192
83,8192,2081,246,8192
84,8192,2489,249,8192
85,8192,4424,256,8192
86,8192,3658,255,8192
87,8192,2180,248,8192
88,8192,1792,254,8192
89,8192,3341,224,8192
90,8192,1990,218,8192
91,8192,4928,256,8192
92,8192,2859,247,8192
93,8192,4946,250,8192
94,8192,3083,234,8192
95,8192,3287,256,8192
96,8192,3476,256,8192
97,8192,4762,254,8192
98,8192,2398,255,8192
99,8192,2717,253,8192
