,XGB,XGB_GPU,LGB
0,0.630798,0.630694,0.630413353443
1,0.57791,0.578095,0.578335881233
2,0.532833,0.532971,0.534018576145
3,0.49367,0.493738,0.494945496321
4,0.459419,0.459849,0.461035490036
5,0.42943,0.430018,0.431292444468
6,0.402635,0.403323,0.405025869608
7,0.379467,0.379717,0.381782591343
8,0.358417,0.35866,0.360642015934
9,0.33952,0.33955,0.342259913683
10,0.322113,0.322346,0.325515091419
11,0.307189,0.307462,0.310478717089
12,0.293825,0.293936,0.297108471394
13,0.282056,0.282215,0.28519937396
14,0.270617,0.271284,0.273898631334
15,0.261047,0.261263,0.263902902603
16,0.251869,0.252442,0.254359960556
17,0.242971,0.244413,0.245831117034
18,0.235524,0.236362,0.238167464733
19,0.228595,0.229174,0.231366768479
20,0.221737,0.222391,0.224876269698
21,0.215426,0.216492,0.219237133861
22,0.210249,0.21136,0.213736921549
23,0.204724,0.206256,0.208338066936
24,0.199604,0.20112,0.203876405954
25,0.19503,0.196269,0.199233174324
26,0.191255,0.191482,0.19473387301
27,0.187718,0.187603,0.190129816532
28,0.183931,0.183773,0.186846256256
29,0.180136,0.180109,0.182951822877
30,0.177012,0.176636,0.179997220635
31,0.174461,0.173487,0.176862373948
32,0.171941,0.170426,0.174273356795
33,0.16945,0.167518,0.171996489167
34,0.167114,0.165296,0.169398099184
35,0.164566,0.163261,0.167216867208
36,0.162368,0.161082,0.165243655443
37,0.159985,0.158542,0.162741735578
38,0.157736,0.155955,0.16116926074
39,0.155678,0.154401,0.158876508474
40,0.153368,0.152562,0.156932815909
41,0.151912,0.15021,0.155223175883
42,0.149798,0.148618,0.153844729066
43,0.148226,0.146034,0.152020305395
44,0.1463,0.143613,0.149494841695
45,0.14415,0.141986,0.147853314877
46,0.143132,0.139642,0.145646378398
47,0.141367,0.137413,0.143680304289
48,0.139468,0.135739,0.141155302525
49,0.137403,0.134472,0.138838753104
50,0.136171,0.132191,0.136769324541
51,0.134338,0.131122,0.134692803025
52,0.132663,0.129203,0.133157163858
53,0.130984,0.128174,0.131011217833
54,0.130469,0.127467,0.128888189793
55,0.128301,0.125407,0.128163695335
56,0.126556,0.123908,0.126300990582
57,0.125196,0.123251,0.12531645596
58,0.124522,0.122698,0.124386154115
59,0.123054,0.122029,0.123659439385
60,0.12248,0.121748,0.123356163502
61,0.121705,0.120773,0.122656397521
62,0.120232,0.119402,0.121026344597
63,0.118327,0.119063,0.120336174965
64,0.117825,0.118511,0.119476132095
65,0.117316,0.117185,0.118967182934
66,0.116977,0.116791,0.118270091712
67,0.116537,0.115184,0.117879614234
68,0.116246,0.113566,0.117433741689
69,0.115891,0.113422,0.11694432795
70,0.115029,0.113283,0.115376472473
71,0.11466,0.112945,0.11418325454
72,0.113858,0.112224,0.11378981173
73,0.113625,0.111883,0.113262616098
74,0.113363,0.11091,0.112797014415
75,0.113274,0.11078,0.112239696085
76,0.113113,0.11052,0.111863955855
77,0.113074,0.110155,0.111253760755
78,0.112913,0.109637,0.110211007297
79,0.111823,0.10947,0.110018365085
80,0.111387,0.108516,0.109546884894
81,0.111278,0.108096,0.108492106199
82,0.110848,0.107864,0.108289569616
83,0.110727,0.107327,0.106978520751
84,0.110611,0.107223,0.106369130313
85,0.110033,0.107197,0.104694589972
86,0.109883,0.106895,0.104507513344
87,0.10883,0.106617,0.10344351083
88,0.108801,0.106155,0.103141956031
89,0.10857,0.105913,0.10277467221
90,0.108143,0.105694,0.102502398193
91,0.106265,0.105423,0.101916365325
92,0.105704,0.105226,0.101174592972
93,0.105512,0.104904,0.100855141878
94,0.105437,0.104466,0.100339174271
95,0.10536,0.104333,0.100036688149
96,0.105256,0.103952,0.0992497056723
97,0.105193,0.103838,0.099087074399
98,0.105108,0.103728,0.0989568904042
99,0.104742,0.103513,0.0987620577216
