,no_depth_limit,depth,depth_8,depth_18
0,8192,6526,256,8192
1,8192,6356,256,8192
2,8192,6280,256,8192
3,8192,6508,256,8192
4,8192,6434,256,8192
5,8192,5926,256,8192
6,8192,6415,256,8192
7,8192,5928,256,8192
8,8192,6441,255,8192
9,8192,5879,256,8192
10,8192,6458,256,8192
11,8192,5789,256,8192
12,8192,5831,256,8192
13,8192,6246,256,8192
14,8192,5770,256,8192
15,8192,5690,256,8192
16,8192,6022,245,8192
17,8192,5669,256,8192
18,8192,4690,252,8192
19,8192,4922,255,8192
20,8192,6044,255,8192
21,8192,5870,256,8192
22,8192,5349,211,8192
23,8192,4888,253,8192
24,8192,4642,209,8192
25,8192,4209,249,8192
26,8192,5386,229,8192
27,8192,4126,255,8192
28,8192,4294,254,8192
29,8192,4631,255,8192
30,8192,3282,223,8192
31,8192,2479,251,8192
32,8192,3797,222,8192
33,8192,2409,227,8192
34,8192,3757,256,8192
35,8192,2321,237,8192
36,8192,3355,255,7263
37,8192,5059,249,8192
38,8192,2377,205,8192
39,8192,2423,247,6223
40,8192,2993,242,8192
41,8192,2989,250,8192
42,8192,1636,254,8192
43,8192,2287,255,7491
44,8192,2332,255,8192
45,8192,2044,238,7112
46,8192,3324,233,6408
47,8192,2189,245,8192
48,8192,3272,222,8192
49,8192,2130,246,8192
50,8192,3022,224,7378
51,8192,1424,255,7812
52,8192,2216,245,8192
53,8192,3546,248,5105
54,8192,2088,220,8192
55,8192,3312,256,6345
56,8192,2299,236,8192
57,8192,2080,251,4418
58,8192,3457,240,8192
59,8192,2402,203,4429
60,8192,2303,254,8192
61,8192,1691,244,8192
62,8192,4193,253,8192
63,8192,2039,241,6352
64,8192,1434,234,3515
65,8192,1553,241,8192
66,8192,2108,231,8192
67,8192,2487,245,7947
68,8192,2195,214,7593
69,8192,1973,226,8192
70,8192,1674,252,3444
71,8192,2209,196,8192
72,8192,1855,249,8192
73,8192,3214,253,6744
74,8192,2467,212,8192
75,8192,2549,236,8192
76,8192,3655,219,8192
77,8192,3401,205,8192
78,8192,2384,230,8192
79,8192,1616,256,6348
80,8192,4970,241,8192
81,8192,1971,245,4987
82,8192,4801,221,6077
83,8192,2438,222,6745
84,8192,2125,204,8192
85,8192,1228,241,8192
86,8192,2967,256,8192
87,8192,1950,249,8192
88,8192,2722,236,8192
89,8192,3006,220,4509
90,8192,3356,190,5941
91,8192,2563,249,6484
92,8192,2144,183,8192
93,8192,1618,222,8192
94,8192,2635,240,8192
95,8192,3598,188,8192
96,8192,3142,197,8192
97,8192,3444,252,8192
98,8192,2631,254,6846
99,8192,2907,221,8192
