,,Time(sec),Time(sec),Time(sec),Time(sec),Time(sec),Ratio,Ratio,Ratio,Ratio
,,hist_dw,hist_lg,hist_GPU,GPU,LGB,hist_dw/LGB,hist_lg/LGB,hist_GPU/LGB,GPU/LGB
n_train,max_depth,,,,,,,,,
10000,5,6.383875131607056,5.846222877502441,1.1269152164459229,4.003050327301025,0.8830621242523193,7.22924804074484,6.62039817691466,1.2761448889001685,4.533146895741194
10000,10,37.436691761016846,37.282033920288086,5.01495099067688,7.809595584869385,6.707652568817139,5.581191240442947,5.558134315663071,0.7476462054684567,1.1642814687771714
20000,5,7.192309617996216,7.758184194564819,1.3164958953857422,8.847821950912476,1.273388385772705,5.6481664968475815,6.092551401634682,1.0338526015272858,6.9482508634186475
20000,10,64.86170220375061,57.38528656959534,5.894176721572876,16.98634934425354,10.428186655044556,6.219844767774104,5.502901747720026,0.5652158823530085,1.6288881189172542
40000,5,9.563886642456055,8.765583038330078,1.8459620475769043,18.152567386627197,2.08418345451355,4.5887930938825505,4.205763662189695,0.8857003655696679,8.709678290227107
40000,10,79.55826234817505,81.90808415412903,7.025014162063599,37.653128147125244,15.298445701599121,5.200414728396817,5.354013456776679,0.45919790147892514,2.461238800435094
80000,5,12.022714614868164,12.899315595626831,3.0896644592285156,37.37119674682617,3.704460382461548,3.245469885921491,3.482103805644013,0.83403900709973,10.088162077196701
80000,10,108.12276124954224,108.52119970321655,9.694803953170776,76.91144919395447,22.803345203399658,4.741530695830656,4.759003503005233,0.4251483221736001,3.37281431772072
160000,5,18.821309804916382,17.76205325126648,5.512305736541748,75.53326749801636,6.906852960586548,2.7250196163605644,2.571656491404166,0.798092237955161,10.935988927090447
160000,10,132.76392602920532,140.1929726600647,14.546759366989136,156.74836683273315,33.311585664749146,3.9855180526485188,4.208534954504407,0.43668768918384904,4.705521028337201
320000,5,28.449044227600098,28.410215616226196,10.320005416870117,150.92252612113953,13.326751708984375,2.1347320674115107,2.131818483349783,0.7743826584472774,11.324779617481239
320000,10,164.25318574905396,171.1636929512024,25.159497022628784,316.84092259407043,53.85603666305542,3.049856542112198,3.1781709824298785,0.4671620598455194,5.883108788274786
640000,5,55.72244572639465,48.79650259017944,19.67887043952942,308.7512049674988,26.3718044757843,2.1129553640351513,1.8503285444492978,0.7462087191492484,11.70762528787164
640000,10,218.79599523544312,229.77396965026855,44.44687247276306,647.6737952232361,92.54595804214478,2.3641874790015676,2.4828093469585255,0.480268111250437,6.9984017554639175
