,XGB,XGB_GPU,LGB
f25,0.158340195925,0.158711589125,0.113734787502
f28,0.0726115326278,0.0728016731878,0.0913774134709
f1,0.0659530511487,0.0680420551605,0.0462369664675
f22,0.0634251207002,0.0637441983005,0.0908664018889
f24,0.0559645656124,0.0577862191804,0.035204872336
f30,0.055190852609,0.0526548059498,0.0506492822567
f19,0.0549556950748,0.0561429818755,0.0811298486139
f16,0.0541678641379,0.0547302316745,0.0731780490519
f7,0.0526026517582,0.0508330649824,0.052476243357
f6,0.0514800959027,0.0513266597082,0.0953882442461
f26,0.0511575826529,0.0496546409727,0.0427842479404
f12,0.0483001653332,0.0478123532594,0.0611807546224
f8,0.0476855908461,0.0475764783749,0.0274875248336
f29,0.0431408874239,0.0424739531988,0.0375138017528
f10,0.0423630329501,0.0423714057668,0.0509374807415
f5,0.0398949546273,0.0404401619909,0.0406122854692
f2,0.00278716084321,0.00267099187761,0.000601637812732
f21,0.00271990500146,0.00275134471033,0.000568001971875
f0,0.00270263508018,0.00260868662242,0.000579997241222
f4,0.00269874173588,0.00277686456202,0.000586734306193
f11,0.0026908364117,0.00268427220282,0.000582387510558
f23,0.0026819986508,0.00260591644892,0.000591486234575
f20,0.00267282692843,0.00262256418056,0.000572563353899
f18,0.00266386674031,0.00260278840789,0.000573840313175
f17,0.00265437313003,0.00266540088053,0.000582864431701
f15,0.0026513971838,0.00273198058677,0.000579836857058
f9,0.00264976698207,0.00274183005169,0.000567337275743
f13,0.00264952066148,0.00269274734634,0.000587932811907
f27,0.00264509120464,0.00275906669913,0.000544236020905
f14,0.00263842563271,0.00258292208301,0.000604422318907
f31,0.00263674188141,0.0026112563472,0.000549104188334
f3,0.00262287260153,0.00278889428483,0.000569412800806
