,XGB,XGB_GPU,LGB
f2,0.745792816465,0.74333370869,0.604989040943
f14,0.0465780580376,0.0475170121638,0.103231221674
f0,0.0459129169038,0.0444838092859,0.0850212783018
f7,0.0449390203972,0.0439489335807,0.0699814525086
f13,0.0374926256858,0.0371791872071,0.0739801763042
f3,0.0282285175561,0.0294752111512,0.0287386743212
f8,0.0195963747647,0.0201057391335,0.0142394533462
f4,0.0165059138671,0.017504000187,0.0126285510739
f15,0.00195167123312,0.00211162971886,0.00095284182791
f10,0.00192034323548,0.00212964987565,0.000884272118372
f6,0.00191024672285,0.00205901432015,0.000910087677374
f9,0.00185184172786,0.00201808616494,0.000879221298802
f5,0.00184667854891,0.00204688841258,0.000910135276517
f1,0.00183567076356,0.00206088205097,0.000890714981124
f12,0.00182978287227,0.00209905368944,0.000876801347884
f11,0.0018075212183,0.00192719436827,0.000886076999333
