,,,Time(sec),Time(sec),Time(sec),Ratio,Ratio
,,,EQBIN_dw,EQBIN_lg,LGB,EQBIN_dw/LGB,EQBIN_lg/LGB
n_train,max_depth,num_leaves,,,,,
500000,5,256,6.767093181610107,6.630916595458984,2.7131640911102295,2.494170258180369,2.4439791965349236
500000,5,1024,6.537557363510132,6.46275782585144,2.7702364921569824,2.3599275303820035,2.332926392439282
500000,5,4096,6.5610456466674805,6.438980579376221,2.9090936183929443,2.255357340576741,2.2133975127735055
500000,10,256,16.108190536499023,16.968087434768677,6.061898231506348,2.6572848835992797,2.7991376276457554
500000,10,1024,26.893112421035767,26.159011363983154,7.1028525829315186,3.7862411062368313,3.6828881155219895
500000,10,4096,26.926748752593994,26.102295398712158,7.888779163360596,3.413297316986027,3.308787691756434
500000,15,256,16.304951429367065,18.402626037597656,6.744835615158081,2.417397896655028,2.728402453017581
500000,15,1024,40.59304666519165,43.81155729293823,12.081468105316162,3.3599432048601483,3.626343827672731
500000,15,4096,83.95419144630432,86.73566222190857,19.53372025489807,4.297911014941091,4.440304309168124
500000,20,256,16.036890983581543,17.49635672569275,7.070460557937622,2.268153658756755,2.47457101023646
500000,20,1024,40.72309899330139,45.36574101448059,12.961489915847778,3.141853232745257,3.5000406055952507
500000,20,4096,111.00133061408997,112.69759225845337,26.690208435058594,4.158878372350421,4.222432077766048
1000000,5,256,12.232143878936768,11.66616678237915,5.713316202163696,2.140988428805029,2.041925629455104
1000000,5,1024,12.191505908966064,11.627804279327393,5.703240394592285,2.1376454551215907,2.0388066212942166
1000000,5,4096,11.797897815704346,11.816361427307129,5.860211133956909,2.013220606906396,2.0163712803515548
1000000,10,256,23.732237100601196,25.28367853164673,12.487559080123901,1.9004704561017962,2.024709422347403
1000000,10,1024,39.907124042510986,39.01840353012085,14.837634325027466,2.689588054828755,2.629691679643724
1000000,10,4096,39.01489853858948,39.089027404785156,15.520090818405151,2.513831845128253,2.518608161650046
1000000,15,256,23.348346710205078,27.049471616744995,14.595597505569458,1.5996841993824304,1.8532623694523864
1000000,15,1024,51.174288749694824,55.96244788169861,22.36334776878357,2.288310734098931,2.5024181737143656
1000000,15,4096,118.16458559036255,121.37146043777466,34.58445334434509,3.416696641518078,3.5094225497602123
1000000,20,256,23.039791584014893,26.15120816230774,14.9300856590271,1.5431787941608,1.7515779051472535
1000000,20,1024,51.3400022983551,57.227585315704346,23.48706865310669,2.185883775307322,2.436557160918194
1000000,20,4096,136.7069935798645,152.03030395507812,44.35920190811157,3.0818181504493234,3.427255167259393
2000000,5,256,21.535839557647705,21.87316632270813,11.556857824325562,1.8634684171953548,1.892656867048082
2000000,5,1024,22.038800716400146,21.99045753479004,11.537817478179932,1.9101360164588705,1.905946040174228
2000000,5,4096,22.205700159072876,22.258994340896606,11.644569635391235,1.9069575651454986,1.9115343063641481
2000000,10,256,36.746057748794556,41.52183938026428,25.16833209991455,1.4600116369618037,1.6497652373398735
2000000,10,1024,61.20344281196594,60.14697265625,30.418845176696777,2.012023877186915,1.977293099289887
2000000,10,4096,60.94802188873291,60.71748471260071,30.569921731948853,1.993725153212796,1.9861838458403513
2000000,15,256,35.84563946723938,43.19354033470154,29.075278520584106,1.23285627141498,1.4855761503409943
2000000,15,1024,71.4542784690857,78.88795614242554,42.99672842025757,1.661853845499105,1.8347432244463069
2000000,15,4096,157.61267971992493,161.88291907310486,61.20999097824097,2.574950219743593,2.6447139835496998
2000000,20,256,37.557276010513306,43.41077256202698,29.2593891620636,1.2835974053487205,1.483652728414147
2000000,20,1024,70.56397914886475,78.70763897895813,43.53632140159607,1.6208071071957362,1.8078614923141545
2000000,20,4096,164.1555461883545,184.8951132297516,71.80288219451904,2.286197171635055,2.5750374856660736
