,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
0,915,921,921,914,930
1,877,891,891,863,893
2,945,925,925,939,932
3,907,897,897,895,891
4,915,910,910,913,927
5,913,907,907,900,900
6,886,913,913,930,948
7,935,954,954,910,919
8,896,911,911,917,940
9,935,939,939,895,898
10,898,915,915,884,901
11,912,924,924,875,932
12,911,917,917,904,918
13,910,952,952,921,946
14,947,872,872,933,904
15,932,887,887,908,937
16,857,876,876,870,895
17,926,892,892,883,792
18,924,934,934,834,799
19,885,792,792,860,903
20,802,912,912,916,926
21,785,877,877,810,778
22,776,918,918,902,916
23,851,841,841,904,830
24,849,817,817,845,867
25,720,872,872,790,846
26,876,873,873,863,826
27,712,834,834,828,778
28,805,686,686,779,807
29,763,788,788,746,889
30,876,853,853,712,737
31,800,822,822,771,871
32,844,799,799,640,896
33,893,779,779,799,571
34,585,835,835,716,737
35,850,921,921,799,776
36,761,679,679,812,877
37,563,744,744,893,923
38,742,852,852,933,742
39,632,711,711,769,656
40,532,872,872,768,716
41,628,653,653,565,559
42,536,534,534,552,636
43,650,592,592,607,785
44,621,614,614,578,651
45,713,605,605,450,711
46,536,638,638,654,557
47,583,509,509,695,598
48,615,780,780,480,423
49,695,417,417,550,407
50,732,721,721,370,384
51,911,516,516,888,809
52,370,415,415,340,412
53,623,442,442,481,520
54,498,749,749,795,343
55,642,536,536,671,826
56,471,775,775,420,797
57,509,572,572,500,506
58,695,437,437,815,689
59,313,484,484,677,528
60,710,606,606,626,558
61,348,413,413,328,587
62,381,362,362,451,618
63,465,358,358,517,848
64,320,381,381,363,669
65,359,485,485,510,827
66,580,517,517,740,864
67,843,322,322,509,455
68,480,370,370,257,784
69,812,300,300,672,350
70,254,355,355,537,312
71,435,836,836,733,762
72,502,434,434,441,809
73,319,650,650,784,814
74,807,839,839,455,788
75,659,807,807,744,502
76,501,607,607,251,496
77,354,654,654,714,369
78,574,378,378,436,500
79,814,772,772,509,710
80,460,809,809,782,932
81,364,617,617,842,531
82,244,773,773,622,302
83,804,669,669,340,858
84,298,290,290,249,288
85,285,404,404,419,447
86,248,396,396,756,843
87,632,573,573,837,376
88,460,790,790,604,587
89,686,366,366,357,925
90,632,524,524,435,265
91,335,552,552,474,349
92,143,904,904,178,470
93,542,306,306,119,277
94,439,264,264,421,598
95,530,660,660,356,901
96,109,839,839,350,689
97,580,330,330,660,821
98,261,722,722,711,516
99,453,537,537,162,770
