,XGB,LGB
0,3770,3767
1,3710,3707
2,3519,3548
3,3551,3587
4,3601,3593
5,3477,3502
6,3606,3613
7,3403,3379
8,3626,3581
9,3470,3440
10,3532,3511
11,3216,3430
12,3519,3494
13,3352,3254
14,3383,3417
15,3422,3326
16,3188,3431
17,2935,3235
18,3304,3209
19,3299,3125
20,3177,3239
21,2742,2743
22,3292,3141
23,2633,2619
24,3046,2842
25,2360,2799
26,2961,3356
27,2232,2368
28,2347,2306
29,2271,2166
30,2629,2751
31,2101,3043
32,2321,2275
33,2245,2114
34,2409,2016
35,1513,2177
36,1336,2384
37,2609,2003
38,1723,1718
39,1613,2095
40,1708,2134
41,1271,2571
42,1721,1514
43,1629,2004
44,2164,1725
45,1380,2530
46,2647,2607
47,1510,1680
48,2759,2633
49,1497,1806
50,2033,2114
51,1539,2203
52,1912,1510
53,1926,1251
54,1502,1360
55,1323,1424
56,1857,1470
57,1412,1529
58,1306,1389
59,2631,1387
60,2014,1910
61,1674,1976
62,2059,1608
63,3319,2957
64,2109,1500
65,1579,1282
66,1579,1567
67,2643,1656
68,1327,1336
69,1742,2000
70,2167,1673
71,1710,1720
72,2519,1461
73,2106,1289
74,1582,1961
75,1917,1633
76,2097,1837
77,1686,2778
78,2977,1283
79,1295,2213
80,1663,2787
81,1855,1294
82,1435,1265
83,2145,2250
84,1645,2451
85,2288,1355
86,1415,2819
87,1056,1077
88,1771,1152
89,1792,1432
90,3031,2522
91,2633,1208
92,2817,2799
93,1868,1744
94,1529,1199
95,1518,2072
96,1623,1411
97,2975,2461
98,2352,1737
99,2417,1726
