,EQBIN_dw,EQBIN_lg,LGB
0,0.651401,0.651401,0.6139408807116704
1,0.615625,0.615625,0.5521822631371216
2,0.585036,0.585036,0.5047424021208479
3,0.558381,0.558381,0.46697786014126
4,0.534614,0.534614,0.4362988019627277
5,0.514062,0.514062,0.4132691248298452
6,0.495733,0.495733,0.3932588146328808
7,0.478523,0.478523,0.37613633512028866
8,0.463248,0.463248,0.3629318658192549
9,0.449133,0.449133,0.35118715699027264
10,0.436862,0.436862,0.3395837480289572
11,0.425249,0.425249,0.33149430181488265
12,0.415138,0.415138,0.3239964671564548
13,0.405228,0.405228,0.316962585358484
14,0.396825,0.396825,0.3109032071313919
15,0.388469,0.388469,0.30601930431930474
16,0.380662,0.380662,0.3008553602016941
17,0.373135,0.373135,0.29658069228649825
18,0.365388,0.365388,0.2924458089174054
19,0.359227,0.359227,0.28894063953693955
20,0.353096,0.353096,0.2852505813823265
21,0.347824,0.347824,0.2824933144368747
22,0.342817,0.342817,0.2788551374434871
23,0.338053,0.338053,0.27606281354560097
24,0.332739,0.332739,0.27309807536983377
25,0.328144,0.328144,0.2708368014073282
26,0.324881,0.324881,0.26809696150599427
27,0.320336,0.320336,0.2649277072620121
28,0.317022,0.317022,0.2623416434882188
29,0.313371,0.313371,0.2589620198085032
30,0.309766,0.309766,0.2565674181788847
31,0.307073,0.307073,0.2537957851118978
32,0.303481,0.303481,0.25169758408429155
33,0.299438,0.299438,0.24975133770332136
34,0.296934,0.296934,0.24858356393277273
35,0.2944,0.2944,0.24753146758649988
36,0.291373,0.291373,0.24603258254459603
37,0.289579,0.289579,0.24473236908690843
38,0.287738,0.287738,0.24364287839870988
39,0.286108,0.286108,0.24266047082070455
40,0.284526,0.284526,0.24161095914698635
41,0.283122,0.283122,0.24092947681246205
42,0.282272,0.282272,0.23870840892477532
43,0.280662,0.280662,0.238268183147605
44,0.279669,0.279669,0.23719003360822571
45,0.278182,0.278182,0.2368469179370417
46,0.276965,0.276965,0.23596663079949845
47,0.275804,0.275804,0.233770338191692
48,0.272989,0.272989,0.23306273115249096
49,0.272401,0.272401,0.2324988439514161
50,0.269195,0.269195,0.2308662370417878
51,0.267533,0.267533,0.22986776463969982
52,0.266225,0.266225,0.22880299502915163
53,0.264721,0.264721,0.22777654393813812
54,0.262961,0.262961,0.22702800131438147
55,0.262088,0.262088,0.22633741819378253
56,0.261155,0.261155,0.22549156832916717
57,0.259985,0.259985,0.22411894667201138
58,0.259328,0.259328,0.22246110980458006
59,0.258851,0.258851,0.22144013621712885
60,0.256862,0.256862,0.22060846492236477
61,0.255771,0.255771,0.2194492846260099
62,0.254499,0.254499,0.21840518233764317
63,0.252029,0.252029,0.217378867399719
64,0.251572,0.251572,0.2159679713065534
65,0.250427,0.250427,0.2156054447269139
66,0.249868,0.249868,0.21511449341136132
67,0.247702,0.247702,0.21468179097622947
68,0.246621,0.246621,0.21337198060665583
69,0.245493,0.245493,0.21131552062399517
70,0.244643,0.244643,0.20935389618924724
71,0.244368,0.244368,0.20899781454338584
72,0.242934,0.242934,0.20771252862858514
73,0.242379,0.242379,0.20723038204465796
74,0.241394,0.241394,0.20574317868819483
75,0.240972,0.240972,0.20281548473617328
76,0.238945,0.238945,0.2012290677786523
77,0.238116,0.238116,0.20008704858518514
78,0.237365,0.237365,0.19928945642411902
79,0.23634,0.23634,0.1981912357000156
80,0.235812,0.235812,0.19677554920640516
81,0.235133,0.235133,0.19489826447363717
82,0.234241,0.234241,0.1939849359516143
83,0.23308,0.23308,0.19327121197869554
84,0.232335,0.232335,0.19242784574229502
85,0.231959,0.231959,0.19190369914203664
86,0.231354,0.231354,0.19144307127251578
87,0.230693,0.230693,0.1904293291238812
88,0.229929,0.229929,0.18962434862443472
89,0.229285,0.229285,0.18926462615581022
90,0.228383,0.228383,0.1882288938472666
91,0.227722,0.227722,0.18753376989198747
92,0.227176,0.227176,0.18509676388643978
93,0.226725,0.226725,0.18467135792249595
94,0.225695,0.225695,0.18419709685771316
95,0.225301,0.225301,0.18305847735021288
96,0.224283,0.224283,0.18222381171909285
97,0.223794,0.223794,0.18154369037776305
98,0.222919,0.222919,0.18042129793318779
99,0.222731,0.222731,0.179655394665569
100,0.221467,0.221467,0.17888061057608942
101,0.220989,0.220989,0.17825243520440642
102,0.219272,0.219272,0.17757453947252969
103,0.217778,0.217778,0.1766112924860353
104,0.216056,0.216056,0.1759592273527303
105,0.215211,0.215211,0.17495883515278307
106,0.214681,0.214681,0.1737996767854279
107,0.214206,0.214206,0.17324689519799447
108,0.213427,0.213427,0.17172599531118213
109,0.212222,0.212222,0.17161995639088629
110,0.210866,0.210866,0.17081545981621232
111,0.209754,0.209754,0.1697194586985432
112,0.209142,0.209142,0.16952253407665557
113,0.208885,0.208885,0.16850571303423076
114,0.208162,0.208162,0.16778254852901126
115,0.20717,0.20717,0.16643604104606316
116,0.206858,0.206858,0.16576312087007394
117,0.206292,0.206292,0.1647756752016399
118,0.206018,0.206018,0.16446004413816037
119,0.20534,0.20534,0.16393191063568782
120,0.204062,0.204062,0.16258019049887373
121,0.20309,0.20309,0.16192385250605307
122,0.202672,0.202672,0.16146095606145117
123,0.202274,0.202274,0.16070824189739288
124,0.201323,0.201323,0.16027080170135927
125,0.200038,0.200038,0.15960403562472522
126,0.199567,0.199567,0.15826292776323989
127,0.199276,0.199276,0.15805897296681914
128,0.198372,0.198372,0.15730396287076273
129,0.198151,0.198151,0.15645829031102942
130,0.197671,0.197671,0.15574039829125688
131,0.196849,0.196849,0.15550673510506446
132,0.195945,0.195945,0.1543183665029981
133,0.19488,0.19488,0.15299656236647388
