,,Time(sec),Time(sec),Ratio
,,XGB_CPU,LGB,XGB_CPU/LGB
n_train,max_depth,,,
10000,5,7.53913903236,3.68138313293,2.0479093754
10000,10,9.68844604492,7.07903504372,1.36861111509
10000,15,10.9185237885,14.9744660854,0.729142777189
100000,5,24.23960495,5.13233685493,4.72291777315
100000,10,48.4872980118,12.7809519768,3.79371568721
100000,15,78.7140130997,90.8034250736,0.866861718441
1000000,5,288.722772121,24.426748991,11.8199426468
1000000,10,571.078689098,62.1300098896,9.19167227099
1000000,15,912.792859077,380.947607994,2.39611127599
10000000,5,5597.50094795,229.79380393,24.3587984193
10000000,10,12846.2814131,595.613898993,21.5681357249
10000000,15,20664.675699,1523.49600697,13.5639841552
