,XGB,LGB
0,1910,1910
1,1918,1917
2,1820,1821
3,1843,1842
4,1901,1899
5,1855,1859
6,1854,1830
7,1817,1872
8,1849,1821
9,1790,1858
10,1792,1735
11,1795,1715
12,1589,1614
13,1730,1765
14,1653,1765
15,1721,1741
16,1752,1768
17,1706,1749
18,1623,1740
19,1435,1629
20,1765,1564
21,1563,1711
22,1614,1454
23,1576,1602
24,1388,1467
25,1415,1588
26,1637,1875
27,1730,1434
28,1170,1210
29,1698,1185
30,1187,1823
31,1814,1100
32,1031,799
33,1668,1102
34,953,1810
35,1111,972
36,1723,1404
37,821,820
38,1310,1368
39,902,1191
40,1791,728
41,748,987
42,870,727
43,1607,899
44,762,813
45,844,780
46,824,809
47,1627,758
48,690,1058
49,891,736
50,634,1488
51,998,1253
52,1060,845
53,1109,822
54,1243,589
55,760,1034
56,731,1059
57,960,1108
58,1197,729
59,1153,716
60,1050,967
61,865,1099
62,989,1197
63,1423,661
64,891,1137
65,634,1216
66,916,721
67,1141,1202
68,936,816
69,1146,785
70,718,706
71,1222,868
72,683,1113
73,860,1316
74,964,1206
75,600,605
76,769,1120
77,545,1138
78,670,738
79,1181,869
80,1248,792
81,1650,818
82,703,1070
83,638,1331
84,1325,654
85,1392,1568
86,1133,1516
87,916,1354
88,826,1500
89,968,1172
90,660,1035
91,1205,892
92,1764,726
93,1230,1150
94,671,980
95,809,811
96,889,773
97,627,643
98,1132,1060
99,838,1070
