,XGB,LGB
0,9595,9551
1,9340,9148
2,9142,8851
3,9152,9145
4,8718,8839
5,9555,9377
6,8336,8962
7,8644,8920
8,9272,9008
9,8821,9071
10,8773,8328
11,8481,8286
12,8352,8297
13,7604,8392
14,8480,7986
15,8313,7494
16,7245,7151
17,6960,7290
18,6918,7559
19,6730,6419
20,6787,6191
21,5909,7190
22,5540,6531
23,5575,5584
24,6700,5598
25,4948,7468
26,5851,4733
27,5922,5072
28,6245,5361
29,4847,5696
30,4579,4851
31,3956,4441
32,3859,3322
33,3671,3594
34,2980,4839
35,3230,3455
36,2558,3190
37,4017,3121
38,2398,2030
39,2566,3390
40,1736,6980
41,2667,2214
42,3030,2313
43,4583,3551
44,1779,2091
45,5763,3324
46,1441,2748
47,2591,3687
48,4007,1989
49,1518,5859
50,6885,1631
51,1342,2711
52,1505,1584
53,1357,1612
54,2712,2645
55,4278,6488
56,1682,1771
57,3051,2096
58,1897,2756
59,4425,1339
60,1704,2456
61,1967,1665
62,3113,5914
63,3206,1555
64,2047,2005
65,2228,1951
66,1968,5571
67,4047,3210
68,3629,3523
69,3107,1474
70,1097,4567
71,3732,2116
72,3138,1526
73,1602,4489
74,1608,2550
75,4085,2668
76,1577,4112
77,3947,1807
78,1449,2118
79,1251,1519
80,3042,3017
81,3083,1467
82,5854,1373
83,2267,2741
84,3437,4063
85,2134,4643
86,2391,4663
87,1975,2252
88,2509,1377
89,3698,3226
90,2918,4365
91,4329,3773
92,3287,2041
93,1458,5986
94,3265,6321
95,5291,1840
96,2142,4540
97,3574,1282
98,1127,2798
99,3136,2481
