,XGB,XGB_GPU,LGB
0,9358,8999,9489
1,9001,8837,9228
2,8879,8582,9290
3,9054,8852,8816
4,8635,8425,9203
5,8998,8857,9438
6,8600,8803,8984
7,9194,8856,9173
8,8406,8197,8654
9,8031,8752,9038
10,7722,8549,8207
11,8290,8338,8580
12,8060,7713,7481
13,7854,7383,8057
14,7722,6981,7309
15,8113,6471,7504
16,6933,6940,6806
17,6961,6435,6689
18,6763,5586,7076
19,6401,6166,7431
20,6580,5476,6485
21,5836,5765,6048
22,4880,6304,6568
23,5021,6030,6590
24,7272,5950,6668
25,5248,5290,5857
26,5080,5813,6455
27,5684,5763,5300
28,5912,4187,3887
29,4854,3971,5054
30,4973,4633,4789
31,4165,5094,4812
32,4515,4553,4090
33,5043,6056,4341
34,3730,3989,2929
35,3246,1802,4741
36,8220,4248,3015
37,1369,2970,1922
38,3859,3499,4029
39,1241,1695,1613
40,2413,2228,2320
41,1496,1476,1478
42,1573,1350,2667
43,1264,1922,1909
44,1913,1943,3366
45,2341,5872,2244
46,955,1847,5912
47,1827,1698,1684
48,1722,1041,4314
49,908,1436,2292
50,1085,1294,2836
51,905,2019,1386
52,1405,2825,1459
53,1046,2297,2061
54,756,958,4103
55,2416,830,2853
56,2695,2087,5188
57,848,865,1656
58,814,1218,3063
59,444,2701,1387
60,326,2039,1729
61,1546,1085,2514
62,1499,1260,2357
63,1159,1545,5026
64,914,236,6037
65,2021,1954,1811
66,252,708,1445
67,840,892,2430
68,3436,750,2849
69,1146,1135,3851
70,1437,754,2621
71,1031,592,2677
72,3042,1143,2138
73,890,1241,2133
74,1795,541,3465
75,361,963,1313
76,1413,566,3271
77,1798,1362,3496
78,1108,1393,1723
79,1544,804,4256
80,2872,1089,1730
81,1195,1069,3033
82,3441,524,1082
83,358,2630,2039
84,619,2579,1449
85,757,1440,2136
86,2138,407,3778
87,550,857,3339
88,1014,1542,3865
89,333,603,4643
90,407,764,4961
91,1618,6297,4392
92,547,522,1895
93,2244,786,5567
94,1469,2723,2362
95,627,3994,3822
96,6288,3835,2515
97,642,4776,2450
98,240,1332,3819
99,2772,905,2862
