,EQBIN_dw,EQBIN_lg,LGB
0,852,852,861
1,798,798,816
2,853,853,799
3,816,816,791
4,863,863,840
5,849,849,813
6,781,781,902
7,904,904,774
8,826,826,816
9,796,796,828
10,820,820,865
11,836,836,817
12,834,834,759
13,843,843,769
14,803,803,777
15,745,745,761
16,758,758,792
17,789,789,758
18,752,752,784
19,639,639,624
20,718,718,764
21,664,664,660
22,633,633,565
23,672,672,556
24,661,661,703
25,644,644,624
26,619,619,640
27,610,610,569
28,682,682,665
29,617,617,682
30,521,521,613
31,563,563,447
32,502,502,496
33,440,440,433
34,478,478,565
35,379,379,366
36,413,413,698
37,700,700,739
38,730,730,499
39,461,461,709
40,752,752,515
41,532,532,552
42,690,690,422
43,378,378,564
44,454,454,712
45,413,413,345
46,238,238,430
47,364,364,451
48,807,807,317
49,731,731,600
50,444,444,321
51,309,309,342
52,366,366,247
53,407,407,237
54,548,548,497
55,286,286,520
56,518,518,455
57,239,239,323
58,335,335,661
59,794,794,330
60,723,723,213
61,375,375,566
62,224,224,476
63,376,376,511
64,299,299,519
65,436,436,222
66,166,166,721
67,549,549,446
68,238,238,442
69,837,837,699
70,553,553,478
71,890,890,284
72,502,502,775
73,288,288,462
74,815,815,367
75,172,172,655
76,265,265,822
77,181,181,174
78,848,848,184
79,440,440,697
80,317,317,420
81,821,821,197
82,442,442,606
83,663,663,439
84,387,387,401
85,336,336,507
86,472,472,714
87,261,261,556
88,446,446,531
89,432,432,329
90,342,342,447
91,311,311,368
92,167,167,806
93,800,800,767
94,492,492,527
95,476,476,516
96,688,688,259
97,188,188,339
98,687,687,382
99,449,449,248
100,695,695,364
101,704,704,619
102,178,178,291
103,269,269,414
104,251,251,443
105,302,302,662
106,201,201,190
107,271,271,303
108,604,604,566
109,672,672,460
110,213,213,165
111,406,406,268
112,364,364,386
113,628,628,154
114,553,553,722
115,685,685,513
116,586,586,777
117,341,341,361
118,496,496,313
119,506,506,428
120,759,759,490
121,292,292,435
122,695,695,693
123,433,433,382
124,294,294,759
125,417,417,423
126,339,339,596
127,496,496,502
128,370,370,223
129,510,510,394
130,359,359,363
131,686,686,418
132,723,723,485
133,222,222,352
134,727,727,537
135,373,373,639
136,460,460,834
137,465,465,499
138,381,381,391
139,247,247,455
140,498,498,284
141,654,654,552
142,289,289,338
143,624,624,247
144,257,257,514
145,261,261,640
146,409,409,605
147,315,315,568
148,463,463,233
149,449,449,654
150,399,399,509
151,467,467,519
152,601,601,584
153,411,411,614
154,343,343,359
155,606,606,494
156,449,449,451
157,511,511,746
158,569,569,718
159,227,227,387
160,477,477,316
161,689,689,635
162,380,380,316
163,402,402,596
164,330,330,421
165,400,400,488
166,460,460,164
167,426,426,145
168,228,228,293
169,277,277,422
170,485,485,522
171,570,570,566
172,634,634,723
173,267,267,644
174,477,477,266
175,413,413,537
176,397,397,297
177,483,483,537
178,307,307,574
179,677,677,653
180,578,578,315
181,283,283,228
182,655,655,459
183,340,340,329
184,407,407,190
185,290,290,425
186,551,551,342
187,226,226,259
188,353,353,494
189,170,170,785
190,101,101,350
191,437,437,846
192,563,563,253
193,500,500,200
194,507,507,475
195,249,249,639
196,499,499,616
197,265,265,412
198,276,276,471
199,484,484,547
