,XGB,XGB_GPU,LGB
0,1625,1470,1538
1,1520,1478,1431
2,1540,1482,1531
3,1463,1575,1437
4,1552,1454,1439
5,1657,1490,1619
6,1562,1545,1574
7,1593,1530,1596
8,1712,1688,1660
9,1636,1597,1598
10,1608,1626,1670
11,1697,1666,1721
12,1838,1805,1793
13,1671,1715,1732
14,1944,1621,1788
15,1875,1619,2067
16,1813,1726,1822
17,1831,1757,1915
18,1794,1794,1752
19,1789,1849,1799
20,1777,1720,1796
21,1789,1728,1788
22,1855,1671,1843
23,1825,1658,1814
24,1657,1604,1929
25,1651,1504,1889
26,1934,1576,1734
27,1884,1809,1876
28,1737,1683,1925
29,1646,1897,1806
30,1740,1673,1732
31,1741,1640,1820
32,1581,1594,1470
33,1675,1655,1731
34,1394,1566,1639
35,1536,1557,1640
36,1409,1294,1696
37,1296,1287,1466
38,1305,1603,1464
39,1347,1200,1314
40,1211,1166,1502
41,999,1175,1454
42,1246,1109,1248
43,1104,1256,1126
44,1200,719,1047
45,978,888,839
46,1051,889,1388
47,834,939,1154
48,711,686,950
49,907,791,863
50,791,571,960
51,554,574,1162
52,739,793,859
53,680,514,717
54,838,673,911
55,567,805,806
56,848,637,700
57,343,569,704
58,319,300,620
59,393,434,1169
60,826,575,515
61,498,341,892
62,630,386,1085
63,327,364,631
64,306,255,492
65,251,277,307
66,564,363,312
67,118,276,409
68,201,611,643
69,327,288,419
70,560,247,299
71,1644,313,1214
72,772,142,339
73,198,170,886
74,615,173,680
75,473,171,1053
76,560,177,668
77,175,90,324
78,580,175,1022
79,1210,312,469
80,303,565,623
81,112,566,877
82,116,127,509
83,82,127,1105
84,235,91,839
85,293,140,530
86,316,552,1268
87,170,218,1132
88,138,186,464
89,126,297,1110
90,91,421,1157
91,385,189,378
92,200,281,564
93,149,88,444
94,138,82,1257
95,749,436,638
96,153,119,1637
97,249,267,532
98,273,322,784
99,245,402,588
