,hist_dw,hist_lg,hist_GPU,GPU,LGB
f23,0.11885934902752,0.11885934902752,0.12176949612266715,0.12342290048916013,0.10963358764006752
f15,0.10968410395779642,0.10968410395779642,0.11019578761769341,0.10745674554340079,0.09941268283796156
f27,0.09168174661725015,0.09168174661725015,0.09138831968631533,0.08888791081515453,0.059148699450494925
f26,0.07929246369750662,0.07929246369750662,0.07920817397074305,0.07905633961699794,0.07175529894570237
f12,0.06205565933310665,0.06205565933310665,0.06157148349630806,0.06374032640786481,0.05199752303835927
f31,0.05551432452657212,0.05551432452657212,0.056001837099865254,0.05515990831737773,0.08070836190730368
f6,0.05412685824896169,0.05412685824896169,0.05454256422642451,0.0542448717581291,0.0664424838207271
f11,0.05117155892130562,0.05117155892130562,0.04886100892865395,0.048780913024415055,0.05478683073436421
f30,0.04923747793113761,0.04923747793113761,0.04873150670591601,0.050123249511289714,0.053838894065219606
f9,0.04888933777048938,0.04888933777048938,0.0496168234758874,0.04865247444211197,0.06588654617438476
f0,0.04862748264151093,0.04862748264151093,0.04836327958162863,0.04814255892209052,0.06620636991422353
f22,0.04618665957121567,0.04618665957121567,0.04593168663673409,0.04491024076707162,0.06576097681493279
f19,0.0404027887492537,0.0404027887492537,0.0408077717163061,0.040325792529839886,0.048844869480067464
f7,0.03684257977679741,0.03684257977679741,0.036510774674445814,0.039362386584892974,0.026888056895076756
f28,0.03670125423777867,0.03670125423777867,0.036696959020781315,0.037258780069753826,0.04293681052722251
f16,0.035737962095114977,0.035737962095114977,0.035658023151398946,0.03614269208127693,0.030782477289626266
f10,0.002298299914917267,0.002298299914917267,0.002201462916194429,0.002114210721123956,0.0003158458816635782
f21,0.002295128612638388,0.002295128612638388,0.0021185548427866607,0.002092617010948861,0.00030747405718069173
f17,0.0022584382394466996,0.0022584382394466996,0.0021412431263513917,0.002190529521899373,0.00031311289164157654
f25,0.0022303010563924077,0.0022303010563924077,0.0022438813812941795,0.0022181412655209536,0.0003069942139248259
f29,0.002215287595732618,0.002215287595732618,0.002114676309388396,0.0022183106260693333,0.0002784754058010092
f24,0.0022108476875514213,0.0022108476875514213,0.002229090122947896,0.0021586531515763833,0.0003006746198244508
f3,0.002202875494803155,0.002202875494803155,0.0020772924980591925,0.0020147972621322834,0.000277586494042256
f4,0.0021947754439930306,0.0021947754439930306,0.002158549730453823,0.002081030880247107,0.00033290213635365904
f1,0.002167831258129965,0.002167831258129965,0.0020099867464616894,0.002095876351935895,0.0003199658946883263
f5,0.0021551254775063083,0.0021551254775063083,0.0022071457330159784,0.0020901992621345485,0.00033542912743433234
f14,0.0021529323792192833,0.0021529323792192833,0.0021768313270523493,0.00209441499654302,0.00033477970796445545
f2,0.0021496578416861636,0.0021496578416861636,0.0021024621816136107,0.0021986218066095456,0.00028365122539847164
f13,0.002145723624174597,0.002145723624174597,0.0021185326834048885,0.0020597447448176295,0.00030854393905664114
f8,0.0021196393684984635,0.0021196393684984635,0.0020653407247353266,0.002233427974748228,0.0003129985753234919
f20,0.00210896328865028,0.00210896328865028,0.002137378483458432,0.0023017688410866093,0.0003087014263123309
f18,0.0020825656133423064,0.0020825656133423064,0.0020420750810127225,0.0021695647017786514,0.0003323948676555726
