,no_depth_limit,depth,depth_8,depth_18
0,32768,12137,256,29025
1,32768,11749,256,27074
2,32768,11897,256,27203
3,32768,11475,256,28098
4,32768,13125,256,26808
5,32768,11530,256,27288
6,32768,11907,255,29784
7,32768,12478,255,26859
8,32768,11906,256,27948
9,32768,11566,256,26668
10,32768,11097,251,28233
11,32768,11798,256,23931
12,32768,10844,256,25799
13,32768,10501,255,23248
14,32768,10957,255,23410
15,32768,10408,256,24621
16,32768,9456,253,22902
17,32768,9659,249,24594
18,32768,10021,252,22871
19,32768,8984,248,18573
20,32768,10575,256,21487
21,32768,9804,250,18897
22,32768,7734,244,23180
23,32768,8496,233,16969
24,32768,6751,249,16960
25,32768,6788,226,18023
26,32768,9148,246,19836
27,32768,6636,249,11967
28,32768,7691,254,19505
29,32768,6991,252,20043
30,32768,7686,234,19496
31,32768,6381,241,12738
32,32768,4874,236,19175
33,32768,3485,256,13421
34,32768,6532,245,12389
35,32768,3684,236,15301
36,32768,5645,239,17608
37,32768,4525,203,6246
38,32768,3779,234,14005
39,32768,3156,253,7776
40,32768,2983,239,11258
41,32768,7738,238,8614
42,32768,4016,250,10048
43,32768,4393,233,7167
44,32768,2116,247,14115
45,32768,4403,236,7195
46,32768,3286,235,5630
47,32768,3145,232,5881
48,32768,1929,254,4933
49,32768,4442,239,3965
50,32768,4082,243,5539
51,32768,2567,226,5334
52,32768,7667,203,3714
53,32768,4459,219,19917
54,32768,5821,250,5678
55,32768,2728,203,13356
56,32768,2384,234,5620
57,32768,6766,234,4826
58,32768,2362,239,4112
59,32768,3747,214,9058
60,32768,2540,235,4391
61,32768,5257,223,3759
62,32768,1984,220,4791
63,32768,2972,218,3200
64,32768,2565,227,3199
65,32768,8052,230,4641
66,32768,2224,250,4501
67,32768,4558,236,13482
68,32735,2449,241,3072
69,32159,4426,246,5007
70,31581,9249,211,17169
71,30987,3750,236,3595
72,30656,3796,254,2387
73,30077,1217,216,14569
74,29467,2527,241,6035
75,29019,4047,195,6105
76,28644,2281,236,6248
77,28071,1598,230,6208
78,27743,3041,251,6218
79,27144,4199,206,3342
80,26837,5264,229,5376
81,26436,4407,251,9551
82,25970,6553,248,4470
83,25712,2532,240,13129
84,25240,4462,239,4262
85,24963,2625,209,7221
86,24709,3816,254,7796
87,24201,5874,201,8016
88,23810,1848,255,3877
89,23639,5603,237,7125
90,23370,2447,236,7647
91,22949,4876,252,4974
92,22563,3869,230,4393
93,22289,3699,231,10745
94,21949,5087,238,4620
95,21748,3400,197,5660
96,21544,6626,211,7468
97,21148,3892,226,5349
98,20835,3061,206,8179
99,20654,5523,240,6932
