,XGB,LGB
f15,0.0633575604181,0.0548837172831
f4,0.0528943906018,0.0714005365916
f22,0.0526176100764,0.0696532772298
f25,0.0518160110865,0.0650119930051
f18,0.0500540551543,0.0445930212959
f12,0.0495947119042,0.0621404528167
f19,0.0479698707863,0.0510235464911
f8,0.047834171885,0.0449795525593
f27,0.047165209975,0.0572740211124
f13,0.0466974077985,0.0602628546835
f9,0.0465444626705,0.0380964869992
f20,0.0465302399489,0.0509337989862
f6,0.0459797280355,0.0502272273787
f3,0.0458844633099,0.0439522450773
f21,0.0424668199554,0.0426398747121
f14,0.0421401147203,0.039490251012
f7,0.0414566604163,0.0354463999653
f10,0.0406476724959,0.0358597891589
f24,0.040264332219,0.0323438010971
f17,0.036434320137,0.0279140282588
f23,0.00792947930039,0.00275217952007
f16,0.0077959658479,0.00268444475541
f26,0.00777367989919,0.00273986112935
f11,0.00773472146262,0.00278142273131
f1,0.00769959831273,0.00266471228222
f5,0.00760373204693,0.00266938375707
f2,0.00758927831763,0.00283057313285
f0,0.00752373121796,0.00275054697752
