,XGB,LGB
0,0.669352,0.669466853142
1,0.648597,0.64833688736
2,0.629493,0.629383921623
3,0.612109,0.611779093742
4,0.596257,0.596018314362
5,0.581038,0.581747233868
6,0.567322,0.567692577839
7,0.553465,0.555171787739
8,0.54117,0.542547881603
9,0.530132,0.532091200352
10,0.520004,0.522163391113
11,0.509995,0.512802898884
12,0.500808,0.503772854805
13,0.493132,0.495433151722
14,0.484847,0.486939877272
15,0.476931,0.479832231998
16,0.471231,0.473256886005
17,0.463929,0.466825932264
18,0.457908,0.460417091846
19,0.45238,0.454254716635
20,0.447248,0.449123263359
21,0.441693,0.444106459618
22,0.437404,0.44005638361
23,0.433176,0.436092525721
24,0.429971,0.432035982609
25,0.426429,0.427071541548
26,0.422671,0.423110306263
27,0.41942,0.419155657291
28,0.415796,0.41582724452
29,0.413096,0.41162520647
30,0.410214,0.408639937639
31,0.407834,0.40675124526
32,0.404451,0.404710441828
33,0.401832,0.402370363474
34,0.399026,0.400480061769
35,0.397737,0.398221105337
36,0.396442,0.396611809731
37,0.394649,0.394237905741
38,0.393862,0.39359292388
39,0.392838,0.392902642488
40,0.3908,0.391372710466
41,0.389776,0.390550583601
42,0.389141,0.386454313993
43,0.388662,0.385157972574
44,0.388172,0.383872747421
45,0.385246,0.382600069046
46,0.385,0.381824612617
47,0.384596,0.37968185544
48,0.383891,0.378316193819
49,0.383544,0.376252532005
50,0.382976,0.375295579433
51,0.382401,0.374411284924
52,0.381705,0.373718678951
53,0.380675,0.371818453074
54,0.380357,0.371521651745
55,0.379696,0.371101677418
56,0.379368,0.368634521961
57,0.379202,0.368128687143
58,0.37796,0.367333054543
59,0.377553,0.366873562336
60,0.376763,0.365250259638
61,0.376465,0.364118456841
62,0.376322,0.3614577353
63,0.375728,0.360939383507
64,0.375219,0.35938346386
65,0.374222,0.35757407546
66,0.373923,0.355720132589
67,0.373644,0.355286926031
68,0.372628,0.353990226984
69,0.370705,0.352756142616
70,0.370659,0.351613253355
71,0.370405,0.351136833429
72,0.369956,0.349578350782
73,0.369444,0.348291397095
74,0.368534,0.34785670042
75,0.368403,0.346544712782
76,0.368123,0.344372421503
77,0.367856,0.342815309763
78,0.367779,0.342472195625
79,0.366091,0.340397775173
80,0.365917,0.340121746063
81,0.365809,0.339658528566
82,0.365731,0.339121460915
83,0.364886,0.33767169714
84,0.364221,0.336033284664
85,0.36394,0.334915727377
86,0.36383,0.332845687866
87,0.363483,0.33146739006
88,0.363427,0.331127822399
89,0.362767,0.329520255327
90,0.362651,0.329087257385
91,0.362588,0.32731461525
92,0.360448,0.326110839844
93,0.360066,0.325661987066
94,0.360018,0.325372308493
95,0.359905,0.323217123747
96,0.359417,0.322476118803
97,0.358925,0.321815490723
98,0.358893,0.321446657181
99,0.35875,0.320217013359
