,XGB,XGB_GPU,LGB
f5,0.0762384364361,0.0780061708573,0.0615859726587
f9,0.0589436576662,0.0598357563367,0.0640862673291
f11,0.0587292966065,0.0584170709901,0.0660341578821
f26,0.052003926348,0.0522851406166,0.070428756397
f19,0.0500383907283,0.0517061560734,0.0774378948054
f17,0.0476738507274,0.045948197492,0.0459809774433
f12,0.0474163108622,0.0467037070302,0.0551025245316
f22,0.0463822519687,0.0462267331438,0.0583587999546
f13,0.0460239738512,0.0452651026793,0.0594494440657
f7,0.0453750735012,0.0450742932352,0.0410003404479
f8,0.0452670756494,0.0461515404339,0.0624265663345
f0,0.0440483250941,0.0420563470415,0.0343533508673
f14,0.0440039604944,0.0447397177061,0.0420691172252
f21,0.0438667439418,0.043993456422,0.0383896039889
f2,0.0437931467579,0.0428079627676,0.0450757843388
f20,0.0419815989911,0.0418508620497,0.0346347536292
f1,0.0415141280316,0.0399308858021,0.0353019163184
f25,0.0407797104799,0.0404690695048,0.0294006858905
f23,0.0383077505847,0.0379284005987,0.0346427441471
f4,0.0336273300117,0.0332454682351,0.0262526524625
f24,0.00703846636287,0.00740433502828,0.00242948894989
f15,0.00702501462378,0.00762892160717,0.00229271307259
f6,0.00681996098145,0.00688699427989,0.00228012869171
f16,0.00666964577178,0.00692160311688,0.00230237604767
f27,0.00665046558544,0.00692671089583,0.00203854909501
f3,0.00664668694297,0.00716488014003,0.00220935381234
f10,0.00657258775419,0.00727727039395,0.00224627872053
f18,0.006562233245,0.0071472455218,0.00218880089253
